Rank,BVF_Data_Requirement,FSDM_Subject_Area,Priority_Score,Profitability_Cap_Count,Total_Cap_Count,Avg_Reuse_Coeff,Star_Schema_Coverage,FSDM_Entity_Count,Implementation_Tier
1,Customer Segments,Party,101.0,16,96,0.5011,1,27,Tier 1 (Must Have)
2,Account Status (open closed active / domant /inactive / closure reason ),Agreement,92.51,16,87,0.507,0,30,Tier 1 (Must Have)
3,Customer Demographics,Party,92.5,14,91,0.5019,1,30,Tier 1 (Must Have)
4,Account / Policy / Service Detail,Agreement,90.02,16,82,0.5076,0,30,Tier 1 (Must Have)
5,Master & Reference Data - product,Product,89.02,16,80,0.5091,0,30,Tier 1 (Must Have)
6,Account / Policy / Service Holdings,Agreement,89.01,15,86,0.5059,0,30,Tier 1 (Must Have)
7,Account Balances,Agreement,88.52,15,77,0.509,1,28,Tier 1 (Must Have)
8,Account Maturity Dates & Repricing Schedules,Agreement,86.01,16,74,0.5047,0,30,Tier 1 (Must Have)
9,Master & Reference Data - organisation hierarchy,Internal Organisation,84.0,15,76,0.502,0,30,Tier 1 (Must Have)
10,"Provisions, Losses & Writeoffs",Party or Agreement,82.0,14,70,0.502,1,30,Tier 1 (Must Have)
11,Single Customer View (Master Record),Party,81.49,12,81,0.4974,1,30,Tier 1 (Must Have)
12,Defaults & Limit Breaches,Event,81.0,15,70,0.4977,0,18,Tier 1 (Must Have)
13,Account Repayment Schedules,Agreement,79.51,15,67,0.5042,0,30,Tier 1 (Must Have)
14,Master & Reference Data - geography / location,Location,77.52,13,75,0.5098,0,30,Tier 1 (Must Have)
15,Risk Exposures,Agreement,74.51,12,67,0.5026,1,30,Tier 1 (Must Have)
16,Financial Transactions,Event,73.49,11,71,0.4947,1,30,Tier 1 (Must Have)
17,"Risk Segments, Cohorts & Groupings",Party or Agreement,72.5,13,65,0.4984,0,30,Tier 1 (Must Have)
18,Claims,Event,71.98,13,64,0.4916,0,30,Tier 1 (Must Have)
19,Account Limits,Cross Subject  -  Limits,70.01,12,66,0.5035,0,30,Tier 1 (Must Have)
20,Market / Trading Book Positions,Agreement,68.01,12,62,0.5038,0,30,Tier 1 (Must Have)
21,Mark to market valuations,Agreement,68.0,12,62,0.5018,0,30,Tier 2 (Should Have)
22,Account Terms & Conditions,Agreement,67.5,11,67,0.5003,0,30,Tier 2 (Should Have)
23,Collateral Agreements,Agreement,65.5,12,57,0.5001,0,30,Tier 2 (Should Have)
24,Master & Reference Data - exchange rates,Product,62.51,10,63,0.5071,0,30,Tier 2 (Should Have)
25,Coverage (insurance),Agreement,61.98,11,56,0.4905,0,30,Tier 2 (Should Have)
26,Investment Value,Agreement,61.5,12,49,0.4993,0,30,Tier 2 (Should Have)
27,Predictive Models - risk,Party or Agreement,60.97,10,60,0.4864,0,30,Tier 2 (Should Have)
28,Account Feature Usage,Agreement,60.48,10,59,0.4904,0,30,Tier 2 (Should Have)
29,Service Usage,Event,60.45,10,51,0.4754,1,20,Tier 2 (Should Have)
30,"Account Fees, Commissions & Charges",Event,59.96,10,50,0.4792,1,30,Tier 2 (Should Have)
31,Offline Customer Interactions - Branch,Event,51.45,7,59,0.4742,0,28,Tier 2 (Should Have)
32,Offline Customer Interactions - Call Centre,Event,51.45,7,59,0.4742,0,30,Tier 2 (Should Have)
33,Online Interactions customer digital banking site (web log),Event,51.45,7,59,0.4752,0,30,Tier 2 (Should Have)
34,Online Interactions -  webchat (internal & external),Event,50.95,7,58,0.4745,0,30,Tier 2 (Should Have)
35,Online Interactions customer general banking site,Event,50.95,7,58,0.4742,0,30,Tier 2 (Should Have)
36,Master & Reference Data - Channel,Channel,50.45,8,51,0.4751,0,30,Tier 2 (Should Have)
37,Finance Systems - ERP,Finance,50.01,9,36,0.5046,1,30,Tier 2 (Should Have)
38,Offline Customer Interactions - sms text,Event,49.95,7,56,0.4739,0,30,Tier 2 (Should Have)
39,Offline Customer Interactions - letters,Event,49.94,7,56,0.4724,0,28,Tier 2 (Should Have)
40,Online Interactions email - customer & employee,Event,49.94,7,56,0.4724,0,30,Tier 2 (Should Have)
41,Closed Loop Outcomes / Channel Responses,Event,49.94,6,62,0.4702,0,30,Tier 2 (Should Have)
