BVF_Capability,BVF_Area,BACR_Question_ID,Current_State,Desired_State,Maturity_Gap,Is_Profitability_Critical,FSDM_Entity_Count,Priority_Tier
Single Interaction View of Customer,Marketing and Customer Experience,552,3,5,2,False,23,Tier 3
Single Interaction View of Customer,Marketing and Customer Experience,553,3,5,2,False,23,Tier 3
Single Interaction View of Customer,Marketing and Customer Experience,557,3,5,2,False,23,Tier 3
Customer Value,Marketing and Customer Experience,554,3,5,2,True,26,Tier 2
Customer Value,Marketing and Customer Experience,599,3,5,2,True,26,Tier 2
Customer Value,Marketing and Customer Experience,601,3,5,2,True,26,Tier 2
NPS MI & Drill Down,Marketing and Customer Experience,555,2,4,2,False,36,Tier 3
Channel Support & Engagement,Marketing and Customer Experience,556,2,4,2,False,19,Tier 3
Channel Support & Engagement,Marketing and Customer Experience,574,2,4,2,False,19,Tier 3
Channel Support & Engagement,Marketing and Customer Experience,663,2,4,2,False,19,Tier 3
Channel Support & Engagement,Marketing and Customer Experience,752,2,4,2,False,19,Tier 3
Event Detection,Marketing and Customer Experience,558,2,4,2,False,52,Tier 3
Event Detection,Marketing and Customer Experience,662,2,4,2,False,52,Tier 3
Event Detection,Marketing and Customer Experience,687,2,4,2,False,52,Tier 3
Event Detection,Marketing and Customer Experience,734,2,4,2,False,52,Tier 3
Event Detection,Marketing and Customer Experience,751,2,4,2,False,52,Tier 3
Customer Segmentation,Marketing and Customer Experience,559,2,4,2,False,29,Tier 3
Customer Segmentation,Marketing and Customer Experience,595,2,4,2,False,29,Tier 3
Customer Segmentation,Marketing and Customer Experience,597,2,4,2,False,29,Tier 3
Customer Segmentation,Marketing and Customer Experience,754,2,4,2,False,29,Tier 3
Customer Managed Relationships,Marketing and Customer Experience,560,2,4,2,False,10,Tier 3
Predictive Models,Marketing and Customer Experience,561,2,4,2,False,30,Tier 3
Predictive Models,Marketing and Customer Experience,562,2,4,2,False,30,Tier 3
Insight Led Customer Strategy,Marketing and Customer Experience,563,2,4,2,False,49,Tier 3
Insight Led Customer Strategy,Marketing and Customer Experience,564,2,4,2,False,49,Tier 3
Insight Led Customer Strategy,Marketing and Customer Experience,567,2,4,2,False,49,Tier 3
Insight Led Customer Strategy,Marketing and Customer Experience,568,2,4,2,False,49,Tier 3
Insight Led Customer Strategy,Marketing and Customer Experience,602,2,4,2,False,49,Tier 3
Attrition Root Cause Analysis MI,Marketing and Customer Experience,565,2,4,2,False,20,Tier 3
Attrition Root Cause Analysis MI,Marketing and Customer Experience,566,2,4,2,False,20,Tier 3
Lead & Contact Management,Marketing and Customer Experience,569,2,4,2,False,16,Tier 3
Scope of Contact,Marketing and Customer Experience,570,2,4,2,False,20,Tier 3
Omni Channel Campaign Management,Marketing and Customer Experience,571,2,4,2,False,39,Tier 3
Channel Coverage,Marketing and Customer Experience,572,2,4,2,False,30,Tier 3
Contextual Decisioning,Marketing and Customer Experience,573,2,4,2,False,18,Tier 3
Real Time Omni-Channel  Integration,Marketing and Customer Experience,575,2,4,2,False,24,Tier 3
Direct Customer Access to Information Products,Marketing and Customer Experience,576,2,4,2,False,15,Tier 3
Personalisation,Marketing and Customer Experience,577,2,4,2,False,31,Tier 3
Personalisation,Marketing and Customer Experience,579,2,4,2,False,31,Tier 3
Next Best Action Arbitration,Marketing and Customer Experience,578,2,4,2,False,48,Tier 3
Multi-Step Dialogue,Marketing and Customer Experience,580,2,4,2,False,14,Tier 3
Campaign ROI Reporting by Channel,Marketing and Customer Experience,581,2,4,2,False,12,Tier 3
Marketing Attribution MI across all channels,Marketing and Customer Experience,582,2,4,2,False,26,Tier 3
Big Data Analytics,Marketing and Customer Experience,583,2,4,2,False,113,Tier 3
Big Data Analytics,Marketing and Customer Experience,684,2,4,2,False,113,Tier 3
Campaign Business Cases,Marketing and Customer Experience,585,2,4,2,False,21,Tier 3
Performance Reporting,Finance & Peformance Management,587,2,4,2,True,96,Tier 2
Performance Reporting,Finance & Peformance Management,589,2,4,2,True,96,Tier 2
Performance Reporting,Finance & Peformance Management,603,2,4,2,True,96,Tier 2
Performance Reporting,Finance & Peformance Management,640,2,4,2,True,96,Tier 2
Performance Reporting,Finance & Peformance Management,649,2,4,2,True,96,Tier 2
Performance Reporting,Finance & Peformance Management,655,2,4,2,True,96,Tier 2
Performance Reporting,Finance & Peformance Management,701,2,4,2,True,96,Tier 2
Performance Reporting,Finance & Peformance Management,709,2,4,2,True,96,Tier 2
Performance Reporting,Finance & Peformance Management,715,2,4,2,True,96,Tier 2
Performance Reporting,Finance & Peformance Management,733,2,4,2,True,96,Tier 2
Performance Reporting,Finance & Peformance Management,750,2,4,2,True,96,Tier 2
Performance Reporting,Finance & Peformance Management,758,2,4,2,True,96,Tier 2
Performance Reporting,Finance & Peformance Management,764,2,4,2,True,96,Tier 2
Performance Reporting,Finance & Peformance Management,766,2,4,2,True,96,Tier 2
Performance Reporting,Finance & Peformance Management,771,2,4,2,True,96,Tier 2
Credit Risk Based Pricing Model,Risk Management & Regulation,590,2,4,2,True,83,Tier 2
Credit Risk Based Pricing Model,Risk Management & Regulation,704,2,4,2,True,83,Tier 2
Dynamic Datastore,Risk Management & Regulation,592,2,4,2,False,105,Tier 3
Capital Planning and Management,Finance & Peformance Management,593,2,4,2,True,32,Tier 2
Capital Planning and Management,Finance & Peformance Management,630,2,4,2,True,32,Tier 2
Capital Planning and Management,Finance & Peformance Management,643,2,4,2,True,32,Tier 2
Capital Planning and Management,Finance & Peformance Management,650,2,4,2,True,32,Tier 2
Capital Planning and Management,Finance & Peformance Management,717,2,4,2,True,32,Tier 2
Capital Planning and Management,Finance & Peformance Management,719,2,4,2,True,32,Tier 2
Capital Planning and Management,Finance & Peformance Management,760,2,4,2,True,32,Tier 2
Sales Reporting,Finance & Peformance Management,594,2,4,2,True,29,Tier 2
Sales Reporting,Finance & Peformance Management,638,2,4,2,True,29,Tier 2
Sales Reporting,Finance & Peformance Management,669,2,4,2,True,29,Tier 2
