Data_Requirement,FSDM_Subject_Area,FSDM_Entity,FSDM_Entity_Description,Entity_In_XSD,FSDM_Domain,Mapping_Confidence,Notes
Single Customer View (Master Record),Party,PARTY,"A party is any individual, organization or household that is of interest to the enterprise.",Yes,Party Management,High,Core party/customer master record entities
Single Customer View (Master Record),Party,INDIVIDUAL,This is a subtype entity to PARTY. This entity consists of those people that are of interest to the enterprise.,Yes,Party Management,High,Core party/customer master record entities
Single Customer View (Master Record),Party,ORGANIZATION,This is a subtype entity to PARTY. An organization is any group of individuals (or one individual) or other organizations formed for a specific purpose. An organization can be either an internal organ,Yes,Party Management,High,Core party/customer master record entities
Single Customer View (Master Record),Party,HOUSEHOLD,This is a subtype entity to PARTY. A household is a grouping of individuals created by the enterprise for marketing purposes. The individuals may live at the same address.,Yes,Party Management,High,Core party/customer master record entities
Single Customer View (Master Record),Party,PARTY_RELATIONSHIP,,No,Not Found,High,Core party/customer master record entities
Single Customer View (Master Record),Party,PARTY_IDENTIFICATION,"The numbers that may be assigned to a party for identification purposes, as specified by PARTY IDENTIFICATION TYPE.  Examples: - Social Security number - Passport identification - Driver license - Fed",Yes,Party Management,High,Core party/customer master record entities
KYC Data,Party,PARTY_IDENTIFICATION,"The numbers that may be assigned to a party for identification purposes, as specified by PARTY IDENTIFICATION TYPE.  Examples: - Social Security number - Passport identification - Driver license - Fed",Yes,Party Management,High,Know-Your-Customer regulatory data
KYC Data,Party,PARTY_CLASSIFICATION,,No,Not Found,High,Know-Your-Customer regulatory data
KYC Data,Party,PARTY_IDENTITY_DOCUMENT,,No,Not Found,High,Know-Your-Customer regulatory data
KYC Data,Party,PARTY_COMPLIANCE_VERIFICATION,,No,Not Found,High,Know-Your-Customer regulatory data
Customer Demographics,Party,INDIVIDUAL,This is a subtype entity to PARTY. This entity consists of those people that are of interest to the enterprise.,Yes,Party Management,High,Individual/demographic attributes
Customer Demographics,Party,PARTY_DEMOGRAPHIC,"Provides the relationship of a PARTY to a specific DEMOGRAPHIC VALUE.  Examples: - INDIVIDUAL: Rachel has an income of $120,000 - HOUSEHOLD: The Smiths have five children. - ORGANIZATION: Acme Gifts h",Yes,Party Management,High,Individual/demographic attributes
