Theme,Capability,Sub_Capability,Data_Requirement,FSDM_Subject_Area,FSDM_Entities
Marketing and Customer Experience,Customer Insight,Transaction Classification,Single Customer View (Master Record),Party,PARTY; INDIVIDUAL; ORGANIZATION; HOUSEHOLD; PARTY_RELATIONSHIP; PARTY_IDENTIFICATION
Marketing and Customer Experience,Customer Insight,Transaction Classification,Account / Policy / Service Holdings,Agreement,AGREEMENT; PARTY_AGREEMENT_ROLE; AGREEMENT_PARTY_ROLE; AGREEMENT_RELATIONSHIP
Marketing and Customer Experience,Customer Insight,Transaction Classification,Account Status (open closed active / domant /inactive / closure reason ),Agreement,AGREEMENT; AGREEMENT_STATUS; AGREEMENT_STATUS_HISTORY
Marketing and Customer Experience,Customer Insight,Transaction Classification,Financial Transactions,Event,MONETARY_TRANSACTION; TRANSACTION_TYPE; FINANCIAL_TRANSACTION; PAYMENT
Marketing and Customer Experience,Customer Insight,Transaction Classification,Master & Reference Data - merchant / transaction,Event,MERCHANT; MERCHANT_CATEGORY; TRANSACTION_TYPE
Marketing and Customer Experience,Customer Insight,Predictive Models,Single Customer View (Master Record),Party,PARTY; INDIVIDUAL; ORGANIZATION; HOUSEHOLD; PARTY_RELATIONSHIP; PARTY_IDENTIFICATION
Marketing and Customer Experience,Customer Insight,Predictive Models,Customer Segments,Party,PARTY_CLASSIFICATION; PARTY_SEGMENT; PARTY_CLASSIFICATION_VALUE
Marketing and Customer Experience,Customer Insight,Predictive Models,Customer Contact Preferences,Party,PARTY_PREFERENCE; PARTY_CONTACT_POINT; ELECTRONIC_ADDRESS; POSTAL_ADDRESS
Marketing and Customer Experience,Customer Insight,Predictive Models,External Data - Social Media Data,Party,SOCIAL_MEDIA_ACCOUNT; SOCIAL_MEDIA_TRANSFER; SOCIAL_MEDIA_POST
Marketing and Customer Experience,Customer Insight,Predictive Models,Master & Reference Data - product,Product,Not mapped
Marketing and Customer Experience,Customer Insight,Predictive Models,Account / Policy / Service Holdings,Agreement,AGREEMENT; PARTY_AGREEMENT_ROLE; AGREEMENT_PARTY_ROLE; AGREEMENT_RELATIONSHIP
Marketing and Customer Experience,Customer Insight,Predictive Models,Account / Policy / Service Detail,Agreement,AGREEMENT; LOAN_TERM_AGREEMENT; DEPOSIT_AGREEMENT; INSURANCE_AGREEMENT; CREDIT_CARD_AGREEMENT
Marketing and Customer Experience,Customer Insight,Predictive Models,Account Status (open closed active / domant /inactive / closure reason ),Agreement,AGREEMENT; AGREEMENT_STATUS; AGREEMENT_STATUS_HISTORY
Marketing and Customer Experience,Customer Insight,Predictive Models,Account Feature Usage,Agreement,AGREEMENT_FEATURE; FEATURE; DESCRIPTIVE_FEATURE
Marketing and Customer Experience,Customer Insight,Predictive Models,Account Balances,Agreement,AGREEMENT_SUMMARY; BALANCE_SUMMARY; AGREEMENT_BALANCE
Marketing and Customer Experience,Customer Insight,Predictive Models,Account Maturity Dates & Repricing Schedules,Agreement,AGREEMENT; AGREEMENT_TERM; AGREEMENT_REPRICING_SCHEDULE
Marketing and Customer Experience,Customer Insight,Predictive Models,Profitability Results,Agreement,AGREEMENT_SUMMARY; AGREEMENT_PROFITABILITY; PRODUCT_PROFITABILITY
Marketing and Customer Experience,Customer Insight,Predictive Models,"Account Fees, Commissions & Charges",Event,MONETARY_TRANSACTION; FEE_TRANSACTION; COMMISSION_TRANSACTION; AGREEMENT_FEE
Marketing and Customer Experience,Customer Insight,Predictive Models,Non-Financial Transactions,Event,EVENT; NON_MONETARY_EVENT; DIRECT_CONTACT_EVENT
Marketing and Customer Experience,Customer Insight,Predictive Models,Service Usage,Event,CHANNEL_USAGE_METRIC; SERVICE_USAGE_EVENT; CHANNEL_INSTANCE
Marketing and Customer Experience,Customer Insight,Predictive Models,Complaint Data,Event,COMPLAINT; COMPLAINT_STATUS; COMPLAINT_RESOLUTION
Marketing and Customer Experience,Customer Insight,Predictive Models,Offline Customer Interactions - Branch,Event,DIRECT_CONTACT_EVENT; BRANCH_VISIT_EVENT; CHANNEL_INSTANCE
Marketing and Customer Experience,Customer Insight,Predictive Models,Offline Customer Interactions - Call Centre,Event,DIRECT_CONTACT_EVENT; CALL_EVENT; CHANNEL_INSTANCE
Marketing and Customer Experience,Customer Insight,Predictive Models,Offline Customer Interactions - letters,Event,DIRECT_CONTACT_EVENT; CORRESPONDENCE_EVENT; DOCUMENT
Marketing and Customer Experience,Customer Insight,Predictive Models,Offline Customer Interactions - sms text,Event,DIRECT_CONTACT_EVENT; SMS_EVENT; ELECTRONIC_ADDRESS
Marketing and Customer Experience,Customer Insight,Predictive Models,Online Interactions -  webchat (internal & external),Event,WEB_VISIT; WEB_PAGE_VIEW; ONLINE_INTERACTION_EVENT
Marketing and Customer Experience,Customer Insight,Predictive Models,Online Interactions colleague intranet,Event,WEB_VISIT; WEB_PAGE_VIEW
Marketing and Customer Experience,Customer Insight,Predictive Models,Online Interactions customer digital banking site (web log),Event,WEB_VISIT; WEB_PAGE_VIEW; EXTENDED_SESSION_INFORMATION; ONLINE_APPLICATION_ACCESS
Marketing and Customer Experience,Customer Insight,Predictive Models,Online Interactions customer general banking site,Event,WEB_VISIT; WEB_PAGE_VIEW; ONLINE_INTERACTION_EVENT
Marketing and Customer Experience,Customer Insight,Predictive Models,Online Interactions email - customer & employee,Event,DIRECT_CONTACT_EVENT; EMAIL_EVENT; ELECTRONIC_ADDRESS
Marketing and Customer Experience,Customer Insight,Predictive Models,Online Interactions prospect / unidentified customer (web log),Event,WEB_VISIT; WEB_PAGE_VIEW; VISITOR_INTERACTION_EVENT
Marketing and Customer Experience,Customer Insight,Predictive Models,Claims,Event,CLAIM; CLAIM_STATUS; CLAIM_PARTY_ROLE; CLAIM_PAYMENT
Marketing and Customer Experience,Customer Insight,Predictive Models,Defaults & Limit Breaches,Event,AGREEMENT_STATUS; DEFAULT_EVENT; LIMIT_BREACH_EVENT; AGREEMENT_RISK_METRIC
Marketing and Customer Experience,Customer Insight,Predictive Models,Customer interview / fact find,Event or Cross Subject - Document,DOCUMENT; SURVEY; SURVEY_QUESTION_RESPONSE; PARTY_DOCUMENT
Marketing and Customer Experience,Customer Insight,Predictive Models,Campaign History Data,Campaign,CAMPAIGN; CAMPAIGN_RESPONSE; CAMPAIGN_OFFER_RESPONSE; CAMPAIGN_WAVE
Marketing and Customer Experience,Customer Insight,Event Detection,Single Customer View (Master Record),Party,PARTY; INDIVIDUAL; ORGANIZATION; HOUSEHOLD; PARTY_RELATIONSHIP; PARTY_IDENTIFICATION
Marketing and Customer Experience,Customer Insight,Event Detection,KYC Data,Party,PARTY_IDENTIFICATION; PARTY_CLASSIFICATION; PARTY_IDENTITY_DOCUMENT; PARTY_COMPLIANCE_VERIFICATION
Marketing and Customer Experience,Customer Insight,Event Detection,Customer Demographics,Party,INDIVIDUAL; PARTY_DEMOGRAPHIC; PARTY_CLASSIFICATION; PARTY_PREFERENCE
Marketing and Customer Experience,Customer Insight,Event Detection,Customer Segments,Party,PARTY_CLASSIFICATION; PARTY_SEGMENT; PARTY_CLASSIFICATION_VALUE
Marketing and Customer Experience,Customer Insight,Event Detection,Customer Contact Preferences,Party,PARTY_PREFERENCE; PARTY_CONTACT_POINT; ELECTRONIC_ADDRESS; POSTAL_ADDRESS
Marketing and Customer Experience,Customer Insight,Event Detection,Customer Marketing Preferences,Party,PARTY_PREFERENCE; PARTY_MARKETING_PREFERENCE; PARTY_CONSENT
Marketing and Customer Experience,Customer Insight,Event Detection,External Prospect Data / Lists,Party,PARTY; PROSPECT; PARTY_LIST; PARTY_LIST_MEMBERSHIP
Marketing and Customer Experience,Customer Insight,Event Detection,External Data - Social Media Data,Party,SOCIAL_MEDIA_ACCOUNT; SOCIAL_MEDIA_TRANSFER; SOCIAL_MEDIA_POST
Marketing and Customer Experience,Customer Insight,Event Detection,External Data - Bureau data,Party,PARTY_CREDIT_BUREAU_REPORT; CREDIT_BUREAU_SCORE; PARTY_EXTERNAL_RATING
Marketing and Customer Experience,Customer Insight,Event Detection,Account / Policy / Service Holdings,Agreement,AGREEMENT; PARTY_AGREEMENT_ROLE; AGREEMENT_PARTY_ROLE; AGREEMENT_RELATIONSHIP
Marketing and Customer Experience,Customer Insight,Event Detection,Account / Policy / Service Detail,Agreement,AGREEMENT; LOAN_TERM_AGREEMENT; DEPOSIT_AGREEMENT; INSURANCE_AGREEMENT; CREDIT_CARD_AGREEMENT
Marketing and Customer Experience,Customer Insight,Event Detection,Account Status (open closed active / domant /inactive / closure reason ),Agreement,AGREEMENT; AGREEMENT_STATUS; AGREEMENT_STATUS_HISTORY
Marketing and Customer Experience,Customer Insight,Event Detection,Account Feature Usage,Agreement,AGREEMENT_FEATURE; FEATURE; DESCRIPTIVE_FEATURE
Marketing and Customer Experience,Customer Insight,Event Detection,"Application Data (New Customer, New Product)",Agreement,APPLICATION; APPLICATION_STATUS; APPLICATION_PARTY_ROLE
Marketing and Customer Experience,Customer Insight,Event Detection,Account Balances,Agreement,AGREEMENT_SUMMARY; BALANCE_SUMMARY; AGREEMENT_BALANCE
Marketing and Customer Experience,Customer Insight,Event Detection,Account Maturity Dates & Repricing Schedules,Agreement,AGREEMENT; AGREEMENT_TERM; AGREEMENT_REPRICING_SCHEDULE
Marketing and Customer Experience,Customer Insight,Event Detection,Customer Illustrations,Agreement,DOCUMENT; PARTY_DOCUMENT
Marketing and Customer Experience,Customer Insight,Event Detection,Customer Quotes,Agreement,APPLICATION; QUOTE; DOCUMENT
Marketing and Customer Experience,Customer Insight,Event Detection,Profitability Results,Agreement,AGREEMENT_SUMMARY; AGREEMENT_PROFITABILITY; PRODUCT_PROFITABILITY
Marketing and Customer Experience,Customer Insight,Event Detection,Account Limits,Cross Subject  -  Limits,AGREEMENT_LIMIT; LIMIT; PARTY_LIMIT
Marketing and Customer Experience,Customer Insight,Event Detection,Predictive Models - propensity to buy,Party or Agreement,ANALYTICAL_MODEL; MODEL_RUN; MODEL_SCORE; PARTY_MODEL_SCORE
Marketing and Customer Experience,Customer Insight,Event Detection,Predictive Models - attrition,Party or Agreement,ANALYTICAL_MODEL; MODEL_RUN; MODEL_SCORE; PARTY_MODEL_SCORE
Marketing and Customer Experience,Customer Insight,Event Detection,Predictive Models - price elasticity,Party or Agreement,ANALYTICAL_MODEL; MODEL_RUN; MODEL_SCORE
Marketing and Customer Experience,Customer Insight,Event Detection,"Provisions, Losses & Writeoffs",Party or Agreement,AGREEMENT_RISK_METRIC; PROVISION; WRITE_OFF; LOSS_EVENT
Marketing and Customer Experience,Customer Insight,Event Detection,Financial Transactions,Event,MONETARY_TRANSACTION; TRANSACTION_TYPE; FINANCIAL_TRANSACTION; PAYMENT
Marketing and Customer Experience,Customer Insight,Event Detection,"Account Fees, Commissions & Charges",Event,MONETARY_TRANSACTION; FEE_TRANSACTION; COMMISSION_TRANSACTION; AGREEMENT_FEE
Marketing and Customer Experience,Customer Insight,Event Detection,Non-Financial Transactions,Event,EVENT; NON_MONETARY_EVENT; DIRECT_CONTACT_EVENT
Marketing and Customer Experience,Customer Insight,Event Detection,Service Usage,Event,CHANNEL_USAGE_METRIC; SERVICE_USAGE_EVENT; CHANNEL_INSTANCE
Marketing and Customer Experience,Customer Insight,Event Detection,Complaint Data,Event,COMPLAINT; COMPLAINT_STATUS; COMPLAINT_RESOLUTION
Marketing and Customer Experience,Customer Insight,Event Detection,Offline Customer Interactions - Branch,Event,DIRECT_CONTACT_EVENT; BRANCH_VISIT_EVENT; CHANNEL_INSTANCE
Marketing and Customer Experience,Customer Insight,Event Detection,Offline Customer Interactions - Call Centre,Event,DIRECT_CONTACT_EVENT; CALL_EVENT; CHANNEL_INSTANCE
Marketing and Customer Experience,Customer Insight,Event Detection,Offline Customer Interactions - letters,Event,DIRECT_CONTACT_EVENT; CORRESPONDENCE_EVENT; DOCUMENT
Marketing and Customer Experience,Customer Insight,Event Detection,Offline Customer Interactions - sms text,Event,DIRECT_CONTACT_EVENT; SMS_EVENT; ELECTRONIC_ADDRESS
Marketing and Customer Experience,Customer Insight,Event Detection,Online Interactions -  webchat (internal & external),Event,WEB_VISIT; WEB_PAGE_VIEW; ONLINE_INTERACTION_EVENT
Marketing and Customer Experience,Customer Insight,Event Detection,Online Interactions colleague intranet,Event,WEB_VISIT; WEB_PAGE_VIEW
Marketing and Customer Experience,Customer Insight,Event Detection,Online Interactions customer digital banking site (web log),Event,WEB_VISIT; WEB_PAGE_VIEW; EXTENDED_SESSION_INFORMATION; ONLINE_APPLICATION_ACCESS
Marketing and Customer Experience,Customer Insight,Event Detection,Online Interactions customer general banking site,Event,WEB_VISIT; WEB_PAGE_VIEW; ONLINE_INTERACTION_EVENT
Marketing and Customer Experience,Customer Insight,Event Detection,Online Interactions email - customer & employee,Event,DIRECT_CONTACT_EVENT; EMAIL_EVENT; ELECTRONIC_ADDRESS
Marketing and Customer Experience,Customer Insight,Event Detection,Online Interactions mobile app,Event,WEB_VISIT; WEB_PAGE_VIEW; MOBILE_APP_EVENT; CHANNEL_INSTANCE
Marketing and Customer Experience,Customer Insight,Event Detection,Online Interactions off-site - ad server,Event,AD; AD_PLACEMENT; AD_IMPRESSION; AD_CAMPAIGN_OBJECTIVE
Marketing and Customer Experience,Customer Insight,Event Detection,Online Interactions prospect / unidentified customer (web log),Event,WEB_VISIT; WEB_PAGE_VIEW; VISITOR_INTERACTION_EVENT
Marketing and Customer Experience,Customer Insight,Event Detection,"Case History (Fraud, Money Laundering, Complaint)",Event,CASE; CASE_EVENT; CASE_PARTY_ROLE; FRAUD_CASE
Marketing and Customer Experience,Customer Insight,Event Detection,Claims,Event,CLAIM; CLAIM_STATUS; CLAIM_PARTY_ROLE; CLAIM_PAYMENT
Marketing and Customer Experience,Customer Insight,Event Detection,Defaults & Limit Breaches,Event,AGREEMENT_STATUS; DEFAULT_EVENT; LIMIT_BREACH_EVENT; AGREEMENT_RISK_METRIC
Marketing and Customer Experience,Customer Insight,Event Detection,Closed Loop Outcomes / Channel Responses,Event,CAMPAIGN_RESPONSE; CAMPAIGN_OFFER_RESPONSE; DIRECT_CONTACT_EVENT
Marketing and Customer Experience,Customer Insight,Event Detection,Internal Process Activity Data,Event,EVENT; PROCESS_EVENT; OPERATIONAL_EVENT
Marketing and Customer Experience,Customer Insight,Event Detection,Customer interview / fact find,Event or Cross Subject - Document,DOCUMENT; SURVEY; SURVEY_QUESTION_RESPONSE; PARTY_DOCUMENT
Marketing and Customer Experience,Customer Insight,Event Detection,Campaign History Data,Campaign,CAMPAIGN; CAMPAIGN_RESPONSE; CAMPAIGN_OFFER_RESPONSE; CAMPAIGN_WAVE
Marketing and Customer Experience,Customer Insight,Event Detection,Text Data,Cross Subject - Document,DOCUMENT; TEXT_CONTENT; DIGITAL_CONTENT
Marketing and Customer Experience,Customer Insight,Event Detection,External Data - News / Industry Feeds E.g. Reuters,Cross Subject - Document,DOCUMENT; NEWS_FEED; MARKET_INDEX
Marketing and Customer Experience,Customer Insight,Event Detection,Rich Media from all sources,Cross Subject - Multi-media object,DIGITAL_CONTENT; MEDIA_ASSET; DOCUMENT
