FSDM_Entity,Subject_Area,Capabilities_Supported,Reuse_Score,Priority_Tier
INDIVIDUAL,Party Management,101,0.902,P1-Critical
ORGANIZATION,Party Management,99,0.884,P1-Critical
PARTY_PREFERENCE,Unknown,97,0.866,P1-Critical
PARTY_CLASSIFICATION,Unknown,96,0.857,P1-Critical
PARTY_SEGMENT,Party Management,95,0.848,P1-Critical
PARTY_CLASSIFICATION_VALUE,Unknown,95,0.848,P1-Critical
POSTAL_ADDRESS,Unknown,95,0.848,P1-Critical
AGREEMENT,Agreement/Account,92,0.821,P1-Critical
AGREEMENT_SUMMARY,Agreement/Account,91,0.812,P1-Critical
PARTY_DEMOGRAPHIC,Party Management,91,0.812,P1-Critical
AGREEMENT_STATUS,Agreement/Account,88,0.786,P1-Critical
AGREEMENT_STATUS_HISTORY,Unknown,87,0.777,P1-Critical
PARTY_AGREEMENT_ROLE,Party Management,86,0.768,P1-Critical
AGREEMENT_PARTY_ROLE,Unknown,86,0.768,P1-Critical
AGREEMENT_RELATIONSHIP,Unknown,86,0.768,P1-Critical
LOAN_TERM_AGREEMENT,Agreement/Account,86,0.768,P1-Critical
INSURANCE_AGREEMENT,Agreement/Account,84,0.75,P1-Critical
PARTY,Party Management,82,0.732,P1-Critical
PARTY_IDENTIFICATION,Party Management,82,0.732,P1-Critical
DEPOSIT_AGREEMENT,Agreement/Account,82,0.732,P1-Critical
CREDIT_CARD_AGREEMENT,Agreement/Account,82,0.732,P1-Critical
INTERNAL_ORGANIZATION_UNIT,Unknown,82,0.732,P1-Critical
HOUSEHOLD,Party Management,81,0.723,P1-Critical
PARTY_RELATIONSHIP,Unknown,81,0.723,P1-Critical
AGREEMENT_TERM,Unknown,79,0.705,P1-Critical
BALANCE_SUMMARY,Unknown,77,0.688,P1-Critical
AGREEMENT_BALANCE,Unknown,77,0.688,P1-Critical
DOCUMENT,Other,77,0.688,P1-Critical
AGREEMENT_RISK_METRIC,Agreement/Account,77,0.688,P1-Critical
ORGANIZATION_UNIT_RELATIONSHIP,Unknown,76,0.679,P1-Critical
ORGANIZATION_BUSINESS_TYPE,Party Management,76,0.679,P1-Critical
GEOGRAPHICAL_AREA,Other,75,0.67,P1-Critical
GEOGRAPHICAL_UNIT,Unknown,75,0.67,P1-Critical
SITE,Other,75,0.67,P1-Critical
MONETARY_TRANSACTION,Unknown,74,0.661,P1-Critical
ELECTRONIC_ADDRESS,Location/Geography,74,0.661,P1-Critical
AGREEMENT_REPRICING_SCHEDULE,Unknown,74,0.661,P1-Critical
DIRECT_CONTACT_EVENT,Party Management,74,0.661,P1-Critical
SURVEY,Unknown,74,0.661,P1-Critical
CHANNEL_INSTANCE,Channel Management,72,0.643,P1-Critical
ANALYTICAL_MODEL,Other,72,0.643,P1-Critical
MODEL_RUN,Other,72,0.643,P1-Critical
TRANSACTION_TYPE,Unknown,71,0.634,P1-Critical
FINANCIAL_TRANSACTION,Unknown,71,0.634,P1-Critical
PAYMENT,Unknown,71,0.634,P1-Critical
CAMPAIGN_RESPONSE,Unknown,71,0.634,P1-Critical
LOSS_EVENT,Unknown,71,0.634,P1-Critical
DEFAULT_EVENT,Unknown,70,0.625,P1-Critical
LIMIT_BREACH_EVENT,Unknown,70,0.625,P1-Critical
CAMPAIGN_OFFER_RESPONSE,Unknown,70,0.625,P1-Critical
PROVISION,Unknown,70,0.625,P1-Critical
WRITE_OFF,Unknown,70,0.625,P1-Critical
MARKET_INDEX,Investment Management,70,0.625,P1-Critical
SURVEY_QUESTION_RESPONSE,Campaign/Marketing,69,0.616,P2-High
RISK_GRADE_SCHEME,Risk Management,69,0.616,P2-High
RISK_GRADE_VALUE,Risk Management,69,0.616,P2-High
APPLICATION,Other,67,0.598,P2-High
INVESTMENT_PRODUCT_PRICE,Unknown,67,0.598,P2-High
AGREEMENT_REPAYMENT_SCHEDULE,Unknown,67,0.598,P2-High
AGREEMENT_CONDITION,Unknown,67,0.598,P2-High
RISK_EXPOSURE,Unknown,67,0.598,P2-High
CREDIT_RISK_SUMMARY,Agreement/Account,67,0.598,P2-High
MARKET_INDEX_VALUE,Investment Management,67,0.598,P2-High
AGREEMENT_LIMIT,Agreement/Account,66,0.589,P2-High
LIMIT,Unknown,66,0.589,P2-High
PARTY_LIMIT,Party Management,66,0.589,P2-High
CLAIM,Claims Management,64,0.571,P2-High
CLAIM_STATUS,Claims Management,64,0.571,P2-High
CLAIM_PARTY_ROLE,Unknown,64,0.571,P2-High
CLAIM_PAYMENT,Unknown,64,0.571,P2-High
PARTY_LIABILITY_CREDIT_RATING,Party Management,63,0.562,P2-High
CURRENCY,Reference Data,63,0.562,P2-High
CURRENCY_EXCHANGE_RATE,Unknown,63,0.562,P2-High
CURRENCY_PAIR,Unknown,63,0.562,P2-High
TRADE_ORDER,Investment Management,62,0.554,P2-High
TRADE_EXECUTION,Investment Management,62,0.554,P2-High
TRADING_POSITION,Unknown,62,0.554,P2-High
AGREEMENT_VALUATION,Unknown,62,0.554,P2-High
PARTY_CONTACT_POINT,Unknown,61,0.545,P2-High
