BVF_Data_Requirement,FSDM_Subject_Area,FSDM_Entity,Match_Confidence,Match_Method,Entity_Column_Count,Entity_Relationship_Count
Single Customer View (Master Record),Party,PARTY,HIGH,exact_match,7,299
Single Customer View (Master Record),Party,ORGANIZATION,HIGH,exact_match,15,47
Single Customer View (Master Record),Party,PARTY_ASSET,HIGH,pattern_match,13,46
Single Customer View (Master Record),Party,INDIVIDUAL,HIGH,exact_match,10,30
Single Customer View (Master Record),Party,PARTY_CLASS_VALUE,HIGH,pattern_match,10,16
Single Customer View (Master Record),Party,PARTY_GROUP,HIGH,pattern_match,6,16
Single Customer View (Master Record),Party,PARTY_ASSET_CLASS_VALUE,HIGH,pattern_match,10,15
Single Customer View (Master Record),Party,PARTY_CLASS_SCHEME_TYPE,HIGH,pattern_match,5,10
Single Customer View (Master Record),Party,PARTY_CREDIT_REPORT,HIGH,pattern_match,9,10
Single Customer View (Master Record),Party,ORGANIZATION_BUSINESS_TYPE,HIGH,pattern_match,4,9
Single Customer View (Master Record),Party,ORGANIZATION_POSITION,HIGH,pattern_match,7,9
Single Customer View (Master Record),Party,PARTY_AGREEMENT,HIGH,pattern_match,9,8
Single Customer View (Master Record),Party,PARTY_IDENTIFICATION_TYPE,HIGH,pattern_match,3,8
Single Customer View (Master Record),Party,PARTY_PRIVACY_PREFERENCE,HIGH,pattern_match,13,8
Single Customer View (Master Record),Party,PARTY_RELATED,HIGH,pattern_match,9,8
Single Customer View (Master Record),Party,PARTY_RISK_GRADE,HIGH,pattern_match,9,8
Single Customer View (Master Record),Party,PRODUCT_PARTY,HIGH,pattern_match,5,8
Single Customer View (Master Record),Party,FINANCIAL_INSTITUTION_INTERNAL_ORGANIZATION,HIGH,pattern_match,4,8
Single Customer View (Master Record),Party,PARTY_ASSET_CLASS_SCHEME_TYPE,HIGH,pattern_match,5,7
Single Customer View (Master Record),Party,PARTY_CLAIM,HIGH,pattern_match,6,7
Single Customer View (Master Record),Party,PARTY_LOCATOR,HIGH,pattern_match,6,7
Single Customer View (Master Record),Party,PARTY_RELATED_ROLE,HIGH,pattern_match,2,7
Single Customer View (Master Record),Party,UNKNOWN_PARTY_SESSION_PRIVACY_PREFERENCE,HIGH,pattern_match,7,7
Single Customer View (Master Record),Party,PARTY_ADDRESS,HIGH,pattern_match,6,6
Single Customer View (Master Record),Party,PARTY_FINANCIAL_DOCUMENT,HIGH,pattern_match,9,6
Single Customer View (Master Record),Party,PARTY_FINANCIAL_DOCUMENT_ITEM,HIGH,pattern_match,12,6
Single Customer View (Master Record),Party,PARTY_METRIC,HIGH,pattern_match,13,6
Single Customer View (Master Record),Party,PARTY_METRIC_TYPE,HIGH,pattern_match,3,6
Single Customer View (Master Record),Party,PARTY_TO_PARTY_ASSET,HIGH,pattern_match,8,6
Single Customer View (Master Record),Party,EVENT_PARTY,HIGH,pattern_match,6,5
KYC Data,Party,PARTY_IDENTIFICATION_TYPE,HIGH,pattern_match,3,8
KYC Data,Party,PARTY_IDENTIFICATION,HIGH,exact_match,7,5
KYC Data,Party,PARTY_IDENTIFICATION_VALIDATION,HIGH,pattern_match,8,4
KYC Data,Party,PARTY_DOCUMENT,HIGH,exact_match,4,4
KYC Data,Party,PARTY_IDENTIFICATION_LOCATOR,HIGH,pattern_match,6,3
KYC Data,Party,PARTY_RELATIONSHIP_COST,HIGH,pattern_match,9,3
KYC Data,Party,PARTY_IDENTIFICATION_DOCUMENT,HIGH,pattern_match,7,2
KYC Data,Party,PARTY_IDENTIFICATION_STATUS,HIGH,pattern_match,5,2
KYC Data,Party,PARTY_DOCUMENT_LOCATOR,HIGH,pattern_match,8,2
KYC Data,Party,PARTY_IDENTIFICATION_CATEGORY,HIGH,pattern_match,2,1
KYC Data,Party,PARTY_IDENTIFICATION_EVENT,HIGH,pattern_match,4,1
KYC Data,Party,PARTY_IDENTIFICATION_LOCATOR_USAGE_TYPE,HIGH,pattern_match,2,1
KYC Data,Party,PARTY_IDENTIFICATION_ROLE,HIGH,pattern_match,2,1
KYC Data,Party,PARTY_IDENTIFICATION_STATUS_TYPE,HIGH,pattern_match,2,1
KYC Data,Party,PARTY_IDENTIFICATION_TYPE_RELATED,HIGH,pattern_match,3,1
KYC Data,Party,PARTY_IDENTIFICATION_TYPE_RELATED_REASON,HIGH,pattern_match,2,1
KYC Data,Party,PARTY_DOCUMENT_ROLE_TYPE,HIGH,pattern_match,2,1
KYC Data,Party,INTERNAL_PARTY_IDENTIFICATION,HIGH,pattern_match,0,0
KYC Data,Party,GLOBAL_INTERMEDIARY_IDENTIFICATION_NUMBER,MEDIUM,inheritance_subtype,4,2
KYC Data,Party,PARTY_BANK_IDENTIFICATION_NUMBER,MEDIUM,inheritance_subtype,0,1
KYC Data,Party,PARTY_DRIVING_LICENSE,MEDIUM,inheritance_subtype,0,1
KYC Data,Party,PARTY_MARKET_IDENTIFIER_CODE,MEDIUM,inheritance_subtype,1,1
KYC Data,Party,PARTY_ROUTING_TRANSIT_NUMBER,MEDIUM,inheritance_subtype,1,1
KYC Data,Party,LEGAL_ENTITY_IDENTIFIER,MEDIUM,inheritance_subtype,5,0
KYC Data,Party,PERSONAL_IDENTIFICATION,MEDIUM,inheritance_subtype,0,0
KYC Data,Party,PROFESSIONAL_IDENTIFICATION,MEDIUM,inheritance_subtype,0,0
Customer Demographics,Party,ORGANIZATION,HIGH,exact_match,15,47
Customer Demographics,Party,GEOGRAPHICAL_AREA,HIGH,exact_match,7,36
Customer Demographics,Party,INDIVIDUAL,HIGH,exact_match,10,30
Customer Demographics,Party,ORGANIZATION_BUSINESS_TYPE,HIGH,pattern_match,4,9
Customer Demographics,Party,ORGANIZATION_POSITION,HIGH,pattern_match,7,9
Customer Demographics,Party,FINANCIAL_INSTITUTION_INTERNAL_ORGANIZATION,HIGH,pattern_match,4,8
Customer Demographics,Party,INTERNAL_ORGANIZATION,HIGH,pattern_match,4,5
Customer Demographics,Party,GEOGRAPHICAL_AREA_HOLIDAY,HIGH,pattern_match,4,5
Customer Demographics,Party,INDIVIDUAL_MORTALITY,HIGH,pattern_match,11,4
Customer Demographics,Party,INDIVIDUAL_PAY_TIMING,HIGH,pattern_match,4,4
Customer Demographics,Party,HR_INTERNAL_ORGANIZATION,HIGH,pattern_match,1,4
Customer Demographics,Party,ORGANIZATION_NAICS__GEO,HIGH,pattern_match,9,4
Customer Demographics,Party,ORGANIZATION_OPERATING_HOURS,HIGH,pattern_match,5,4
Customer Demographics,Party,INDIVIDUAL_HEALTH_CONDITION,HIGH,pattern_match,6,3
Customer Demographics,Party,INDIVIDUAL_MEDICAL,HIGH,pattern_match,9,3
Customer Demographics,Party,INDIVIDUAL_NAME,HIGH,pattern_match,10,3
Customer Demographics,Party,ORGANIZATION_LEVEL,HIGH,pattern_match,3,3
Customer Demographics,Party,ORGANIZATION_NAME,HIGH,pattern_match,6,3
Customer Demographics,Party,ORGANIZATION_POSITION_TRAIT_XREF,HIGH,pattern_match,9,3
Customer Demographics,Party,ORGANIZATION_SIC__GEO,HIGH,pattern_match,5,3
Customer Demographics,Party,FEATURE_GEOGRAPHICAL_AREA,HIGH,pattern_match,5,3
Customer Demographics,Party,GEOGRAPHICAL_AREA_CURRENCY,HIGH,pattern_match,5,3
Customer Demographics,Party,GEOGRAPHICAL_AREA_SEASON,HIGH,pattern_match,2,3
Customer Demographics,Party,INDIVIDUAL_MARITAL_STATUS,HIGH,pattern_match,3,2
Customer Demographics,Party,INDIVIDUAL_MILITARY_STATUS,HIGH,pattern_match,3,2
Customer Demographics,Party,INDIVIDUAL_OCCUPATION,HIGH,pattern_match,5,2
Customer Demographics,Party,INDIVIDUAL_SKILL,HIGH,pattern_match,3,2
Customer Demographics,Party,INDIVIDUAL_SPECIAL_NEED,HIGH,pattern_match,2,2
Customer Demographics,Party,INDIVIDUAL_VIP_STATUS,HIGH,pattern_match,3,2
Customer Demographics,Party,ASSOCIATE_ORGANIZATION_POSITION,HIGH,pattern_match,10,2
Customer Attitudinal Data,Party,PARTY_SURVEY_RESPONSE,HIGH,pattern_match,1,1
Customer Attitudinal Data,Party,DRUG_NDC__GEO,MEDIUM,keyword_match,14,10
Customer Attitudinal Data,Party,METROPOLITAN_STATISTICAL_AREA__GEO,MEDIUM,keyword_match,1,5
Customer Attitudinal Data,Party,ORGANIZATION_NAICS__GEO,MEDIUM,keyword_match,9,4
Customer Attitudinal Data,Party,CENSUS_BLOCK__GEO,MEDIUM,keyword_match,3,3
Customer Attitudinal Data,Party,DESIGNATED_MARKET_AREA__GEO,MEDIUM,keyword_match,1,3
Customer Attitudinal Data,Party,NAICS_INDUSTRY__GEO,MEDIUM,keyword_match,5,3
Customer Attitudinal Data,Party,ORGANIZATION_SIC__GEO,MEDIUM,keyword_match,5,3
Customer Attitudinal Data,Party,CENSUS_BLOCK_GROUP__GEO,MEDIUM,keyword_match,2,2
Customer Attitudinal Data,Party,CENSUS_TRACT__GEO,MEDIUM,keyword_match,2,2
Customer Attitudinal Data,Party,DEA_DRUG_CLASSIFICATION__GEO,MEDIUM,keyword_match,4,2
Customer Attitudinal Data,Party,FORMULARY_DRUG_NDC__GEO,MEDIUM,keyword_match,5,2
Customer Attitudinal Data,Party,NAICS_INDUSTRY_GROUP__GEO,MEDIUM,keyword_match,4,2
Customer Attitudinal Data,Party,NAICS_NATIONAL_INDUSTRY__GEO,MEDIUM,keyword_match,6,2
Customer Attitudinal Data,Party,NAICS_SUBSECTOR__GEO,MEDIUM,keyword_match,3,2
Customer Attitudinal Data,Party,ORGANIZATION_NACE__GEO,MEDIUM,keyword_match,8,2
Customer Attitudinal Data,Party,DEA_SCHEDULE__GEO,MEDIUM,keyword_match,3,1
Customer Attitudinal Data,Party,NAICS_SECTOR__GEO,MEDIUM,keyword_match,2,1
Customer Attitudinal Data,Party,ORANGE_BOOK_THERAPEUTIC_EQUIVALENCE_TYPE__GEO,MEDIUM,keyword_match,2,1
Customer Segments,Party,MARKET_SEGMENT,HIGH,exact_match,10,18
Customer Segments,Party,PARTY_SEGMENT,HIGH,exact_match,4,3
Customer Segments,Party,MARKET_SEGMENT_DEMOGRAPHIC,HIGH,pattern_match,7,3
Customer Segments,Party,PARTY_SEGMENT_SCORE,HIGH,pattern_match,4,2
Customer Segments,Party,MARKET_SEGMENT_SCHEME,HIGH,pattern_match,4,2
Customer Segments,Party,PRODUCT_MARKET_SEGMENT,HIGH,pattern_match,4,2
Customer Segments,Party,PARTY_CLASSIFICATION_SUBJECT,HIGH,pattern_match,2,1
Customer Segments,Party,MARKET_SEGMENT_GROUP,HIGH,pattern_match,2,1
Customer Segments,Party,DRUG_NDC__GEO,MEDIUM,keyword_match,14,10
Customer Segments,Party,METROPOLITAN_STATISTICAL_AREA__GEO,MEDIUM,keyword_match,1,5
Customer Segments,Party,ORGANIZATION_NAICS__GEO,MEDIUM,keyword_match,9,4
Customer Segments,Party,CENSUS_BLOCK__GEO,MEDIUM,keyword_match,3,3
Customer Segments,Party,DESIGNATED_MARKET_AREA__GEO,MEDIUM,keyword_match,1,3
Customer Segments,Party,NAICS_INDUSTRY__GEO,MEDIUM,keyword_match,5,3
Customer Segments,Party,ORGANIZATION_SIC__GEO,MEDIUM,keyword_match,5,3
Customer Segments,Party,CENSUS_BLOCK_GROUP__GEO,MEDIUM,keyword_match,2,2
Customer Segments,Party,CENSUS_TRACT__GEO,MEDIUM,keyword_match,2,2
Customer Segments,Party,CHART_OF_ACCOUNTS_CODE_TO_SEGMENT,MEDIUM,keyword_match,6,2
Customer Segments,Party,DEA_DRUG_CLASSIFICATION__GEO,MEDIUM,keyword_match,4,2
Customer Segments,Party,FORMULARY_DRUG_NDC__GEO,MEDIUM,keyword_match,5,2
Customer Segments,Party,NAICS_INDUSTRY_GROUP__GEO,MEDIUM,keyword_match,4,2
Customer Segments,Party,NAICS_NATIONAL_INDUSTRY__GEO,MEDIUM,keyword_match,6,2
Customer Segments,Party,NAICS_SUBSECTOR__GEO,MEDIUM,keyword_match,3,2
Customer Segments,Party,ORGANIZATION_NACE__GEO,MEDIUM,keyword_match,8,2
Customer Segments,Party,DEA_SCHEDULE__GEO,MEDIUM,keyword_match,3,1
Customer Segments,Party,NAICS_SECTOR__GEO,MEDIUM,keyword_match,2,1
Customer Segments,Party,ORANGE_BOOK_THERAPEUTIC_EQUIVALENCE_TYPE__GEO,MEDIUM,keyword_match,2,1
Customer Contact Preferences,Party,LOCATOR,HIGH,exact_match,2,44
Customer Contact Preferences,Party,ELECTRONIC_ADDRESS,HIGH,exact_match,5,8
Customer Contact Preferences,Party,PARTY_LOCATOR,HIGH,pattern_match,6,7
Customer Contact Preferences,Party,LOCATOR_METRIC,HIGH,pattern_match,12,6
Customer Contact Preferences,Party,LOCATOR_PERIL_TYPE_METRIC,HIGH,pattern_match,9,5
Customer Contact Preferences,Party,AGREEMENT_LOCATOR,HIGH,pattern_match,5,3
Customer Contact Preferences,Party,AGREEMENT_LOCATOR_ROLE,HIGH,pattern_match,2,3
Customer Contact Preferences,Party,ALERT_SETUP_NOTIFICATION_LOCATOR,HIGH,pattern_match,3,3
Customer Contact Preferences,Party,APPLICATION_LOCATOR,HIGH,pattern_match,5,3
Customer Contact Preferences,Party,CAMPAIGN_LOCATOR,HIGH,pattern_match,5,3
Customer Contact Preferences,Party,CHANNEL_INSTANCE_LOCATOR,HIGH,pattern_match,5,3
Customer Contact Preferences,Party,CLAIM_LOCATOR,HIGH,pattern_match,3,3
Customer Contact Preferences,Party,EVENT_LOCATOR,HIGH,pattern_match,5,3
Customer Contact Preferences,Party,FEATURE_LOCATOR,HIGH,pattern_match,5,3
Customer Contact Preferences,Party,LOCATOR_DEMOGRAPHIC,HIGH,pattern_match,7,3
Customer Contact Preferences,Party,PARTY_ASSET_LOCATOR,HIGH,pattern_match,5,3
Customer Contact Preferences,Party,PARTY_IDENTIFICATION_LOCATOR,HIGH,pattern_match,6,3
Customer Contact Preferences,Party,PAYMENT_INSTRUCTION_LOCATOR,HIGH,pattern_match,5,3
Customer Contact Preferences,Party,PRODUCT_FEATURE_LOCATOR,HIGH,pattern_match,8,3
Customer Contact Preferences,Party,PRODUCT_FEATURE_LOCATOR_TYPE,HIGH,pattern_match,2,3
Customer Contact Preferences,Party,PRODUCT_LOCATOR,HIGH,pattern_match,5,3
Customer Contact Preferences,Party,PROJECT_LOCATOR,HIGH,pattern_match,5,3
Customer Contact Preferences,Party,QUOTATION_LOCATOR,HIGH,pattern_match,5,3
Customer Contact Preferences,Party,SITE_LOCATOR,HIGH,pattern_match,6,3
Customer Contact Preferences,Party,TRADE_SETTLEMENT_INSTRUCTION_LOCATOR,HIGH,pattern_match,4,3
Customer Contact Preferences,Party,FEATURE_RELATED_LOCATOR,HIGH,pattern_match,7,2
Customer Contact Preferences,Party,LOCATOR_METRIC_TYPE,HIGH,pattern_match,2,2
Customer Contact Preferences,Party,LOCATOR_USAGE_TYPE,HIGH,pattern_match,2,2
Customer Contact Preferences,Party,PARTY_AGREEMENT_LOCATOR,HIGH,pattern_match,7,2
Customer Contact Preferences,Party,PARTY_DOCUMENT_LOCATOR,HIGH,pattern_match,8,2
Customer Marketing Preferences,Party,THIRD_PARTY_CONSENT,HIGH,pattern_match,4,2
Customer Marketing Preferences,Party,UNKNOWN_PARTY_THIRD_PARTY_CONSENT,HIGH,pattern_match,3,2
Customer Marketing Preferences,Party,DRUG_NDC__GEO,MEDIUM,keyword_match,14,10
Customer Marketing Preferences,Party,METROPOLITAN_STATISTICAL_AREA__GEO,MEDIUM,keyword_match,1,5
Customer Marketing Preferences,Party,ORGANIZATION_NAICS__GEO,MEDIUM,keyword_match,9,4
Customer Marketing Preferences,Party,CENSUS_BLOCK__GEO,MEDIUM,keyword_match,3,3
Customer Marketing Preferences,Party,DESIGNATED_MARKET_AREA__GEO,MEDIUM,keyword_match,1,3
Customer Marketing Preferences,Party,NAICS_INDUSTRY__GEO,MEDIUM,keyword_match,5,3
Customer Marketing Preferences,Party,ORGANIZATION_SIC__GEO,MEDIUM,keyword_match,5,3
Customer Marketing Preferences,Party,CENSUS_BLOCK_GROUP__GEO,MEDIUM,keyword_match,2,2
Customer Marketing Preferences,Party,CENSUS_TRACT__GEO,MEDIUM,keyword_match,2,2
Customer Marketing Preferences,Party,DEA_DRUG_CLASSIFICATION__GEO,MEDIUM,keyword_match,4,2
Customer Marketing Preferences,Party,FORMULARY_DRUG_NDC__GEO,MEDIUM,keyword_match,5,2
Customer Marketing Preferences,Party,NAICS_INDUSTRY_GROUP__GEO,MEDIUM,keyword_match,4,2
Customer Marketing Preferences,Party,NAICS_NATIONAL_INDUSTRY__GEO,MEDIUM,keyword_match,6,2
Customer Marketing Preferences,Party,NAICS_SUBSECTOR__GEO,MEDIUM,keyword_match,3,2
Customer Marketing Preferences,Party,ORGANIZATION_NACE__GEO,MEDIUM,keyword_match,8,2
Customer Marketing Preferences,Party,DEA_SCHEDULE__GEO,MEDIUM,keyword_match,3,1
Customer Marketing Preferences,Party,NAICS_SECTOR__GEO,MEDIUM,keyword_match,2,1
Customer Marketing Preferences,Party,ORANGE_BOOK_THERAPEUTIC_EQUIVALENCE_TYPE__GEO,MEDIUM,keyword_match,2,1
Customer Marketing Preferences,Party,MARK_TO_MARKET,MEDIUM,keyword_match,3,0
Customer Satisfaction Measurement (E.g. NPS),Party,SURVEY_RESPONSE,HIGH,pattern_match,6,7
Customer Satisfaction Measurement (E.g. NPS),Party,SURVEY_QUESTION_RESPONSE,HIGH,pattern_match,5,6
Customer Satisfaction Measurement (E.g. NPS),Party,GROUP_SURVEY,HIGH,pattern_match,6,5
Customer Satisfaction Measurement (E.g. NPS),Party,SURVEY_COST,HIGH,pattern_match,6,3
Customer Satisfaction Measurement (E.g. NPS),Party,SURVEY_EVENT,HIGH,pattern_match,3,3
Customer Satisfaction Measurement (E.g. NPS),Party,SURVEY_FEEDBACK,HIGH,pattern_match,2,3
Customer Satisfaction Measurement (E.g. NPS),Party,CLAIM_PROVIDER_SURVEY_RESPONSE,HIGH,pattern_match,2,2
Customer Satisfaction Measurement (E.g. NPS),Party,SURVEY_FEEDBACK_SURVEY_RESPONSE,HIGH,pattern_match,4,2
Customer Satisfaction Measurement (E.g. NPS),Party,SURVEY_RESOLUTION,HIGH,pattern_match,3,2
Customer Satisfaction Measurement (E.g. NPS),Party,SURVEY_RESPONSE_ANSWER,HIGH,pattern_match,4,2
Customer Satisfaction Measurement (E.g. NPS),Party,SURVEY_RESPONSE_TEXT,HIGH,pattern_match,5,2
Customer Satisfaction Measurement (E.g. NPS),Party,SURVEY_RESPONSE_TEXT_SECTION,HIGH,pattern_match,5,2
Customer Satisfaction Measurement (E.g. NPS),Party,AGREEMENT_SURVEY_RESPONSE,HIGH,pattern_match,1,1
Customer Satisfaction Measurement (E.g. NPS),Party,CHANNEL_TYPE_SURVEY_RESPONSE,HIGH,pattern_match,1,1
Customer Satisfaction Measurement (E.g. NPS),Party,CLAIM_SURVEY_RESPONSE,HIGH,pattern_match,1,1
Customer Satisfaction Measurement (E.g. NPS),Party,EVENT_SURVEY_RESPONSE,HIGH,pattern_match,1,1
Customer Satisfaction Measurement (E.g. NPS),Party,PARTY_SURVEY_RESPONSE,HIGH,pattern_match,1,1
Customer Satisfaction Measurement (E.g. NPS),Party,SURVEY_EVENT_REASON_TYPE,HIGH,pattern_match,2,1
Customer Satisfaction Measurement (E.g. NPS),Party,SURVEY_RESOLUTION_TYPE,HIGH,pattern_match,2,1
Customer Satisfaction Measurement (E.g. NPS),Party,SURVEY_SUBJECT_SUBTYPE,HIGH,pattern_match,2,1
Customer Satisfaction Measurement (E.g. NPS),Party,DRUG_NDC__GEO,MEDIUM,keyword_match,14,10
Customer Satisfaction Measurement (E.g. NPS),Party,METROPOLITAN_STATISTICAL_AREA__GEO,MEDIUM,keyword_match,1,5
Customer Satisfaction Measurement (E.g. NPS),Party,ORGANIZATION_NAICS__GEO,MEDIUM,keyword_match,9,4
Customer Satisfaction Measurement (E.g. NPS),Party,CENSUS_BLOCK__GEO,MEDIUM,keyword_match,3,3
Customer Satisfaction Measurement (E.g. NPS),Party,DESIGNATED_MARKET_AREA__GEO,MEDIUM,keyword_match,1,3
Customer Satisfaction Measurement (E.g. NPS),Party,NAICS_INDUSTRY__GEO,MEDIUM,keyword_match,5,3
Customer Satisfaction Measurement (E.g. NPS),Party,ORGANIZATION_SIC__GEO,MEDIUM,keyword_match,5,3
Customer Satisfaction Measurement (E.g. NPS),Party,CENSUS_BLOCK_GROUP__GEO,MEDIUM,keyword_match,2,2
Customer Satisfaction Measurement (E.g. NPS),Party,CENSUS_TRACT__GEO,MEDIUM,keyword_match,2,2
Customer Satisfaction Measurement (E.g. NPS),Party,DEA_DRUG_CLASSIFICATION__GEO,MEDIUM,keyword_match,4,2
Economic Forecast Data,Party,MARKET_INDEX,HIGH,exact_match,4,3
Economic Forecast Data,Party,MARKET_INDEX_VALUE,HIGH,pattern_match,5,2
Economic Forecast Data,Party,DRUG_NDC__GEO,MEDIUM,keyword_match,14,10
Economic Forecast Data,Party,METROPOLITAN_STATISTICAL_AREA__GEO,MEDIUM,keyword_match,1,5
Economic Forecast Data,Party,ORGANIZATION_NAICS__GEO,MEDIUM,keyword_match,9,4
