Theme,Capability,Sub_Capability,Transaction Classification,Predictive Models,Event Detection,Customer Value,"Customer, Product & Channel  insight",Conduct  Risk Monitoring,Insight Led Customer Strategy,Customer Segmentation,Big Data Analytics,Customer Managed Relationships,Scope of Contact,Customer Contact Policy,Campaign Business Cases,Omni Channel Campaign Management,Creation & Management of Offers and Content,Multi-Step Dialogue,Personalisation,Rapid Prototyping supports Test & Learn,Regulatory & Audit Compliance,Channel Coverage,Real Time Omni-Channel  Integration,Next Best Action Arbitration,Contextual Decisioning,Recycle Unused Leads into alternative channels,Lead & Contact Management,Single Interaction View of Customer,Channel Support & Engagement,Direct Customer Access to Information Products,Auto processing of  Channel Feedback,Campaign ROI Reporting by Channel,Lead/Sales Funnel Analytics  & Reporting,Marketing Attribution MI across all channels,Marketing Asset Evaluation,"Earned, Paid & Owned media analysis",NPS MI & Drill Down,Strategy Monitoring,Contact Frequency Monitoring,Complaints Root Cause Analysis MI,Attrition Root Cause Analysis MI,Application and New Business Written,Single Customer View from a Risk Perspective,"Policy, Forensics and Underwriter Rules","Can’t Pay, Won’t Pay and Collusion",Roll and Rehabilitation Rates,Capital Management (Planning and Allocation),Capital Consumption,Risk Appetite,Pre-Default Transaction Analytics,Credit Risk Scoring (Underwriting Likelihood Model),Credit Risk Expected Loss Model,Credit Risk Underwriting/Monitoring Strategy Model,"Credit Risk Capital, CVaR Modelling",Credit Risk Based Pricing Model,Collection Score (Likelihood Model),Expected Collection Amount,Collection Strategy Model,Fraud and Money Laundering Likelihood Model,Fraud and Money Laundering Loss Modelling,Fraud and Money Laundering Strategy Modelling,Operational Risk / Cybercrime Likelihood,Operational Risk / Cybercrime Expected Loss,Operational Risk / Cybercrime Strategy Model,Operational Risk Capital and OPVaR,Market & Liquidity Risk Likelihood Modelling,Market & Liquidity Risk Strategy Modelling,Market & Liquidity Value at Risk (M-VaR) Modelling,Business Rules Directory,Regulatory Threshold Calculation,Risk Based Price Calculation,Active Portfolio Management,Dynamic Datastore,Credit Risk model Deployment,Risk Weighted Assets and Regulatory Capital,A/B and Test and Learn Deployment,Real Time Threat Detection,New Business MI & Reporting,Model Performance Analytics,Portfolio MI & Portfolio Performance Analytics,Collections MI,Regulatory Reporting and Information Sharing,Strategy (Rules) Performance MI,Financial Accounting / Accounting Hub,Financial Consolidation,Functional Profit & Loss Statement (P&L),Fair Value & Hedge Accounting,"Reconciliation, Validation & Adjustments",Tax Management & Optimisation,Third Party Settlement Controls,Fixed Assets Management,Activity Based Costing,Profitability Modelling,Future / Lifetime Value,Profitability Analytics and Optimisation,Performance Management and KPIs,Pricing Analysis & Optimisation,"Financial Budgeting, Planning & Forecasting","GL, AP, HR, Expense Analytics & Optimisation",Business Process Analytics & Optimisation,Funds Transfer Pricing,Asset & Liability Management,Capital Planning and Management,Cashflow Generation,Liquidity Management,FX & Trading Book Management,Interest Rate Management,Statutory Financial Reporting,Regulatory & Compliance Reporting,Sales Reporting,Performance Reporting,Exception Reporting,Executive Dashboards,Operational Dashboard & Decisioning,% Data Coverage,1,80-99%,60-79%,40-59%,<40%
Marketing and Customer Experience,Customer Insight,Transaction Classification,1.0,0.6,0.8,0.6,0.8,0.8,0.6,0.6,1.0,0.2,0.6,0.4,0.2,0.4,0.2,0.2,0.8,0.2,0.2,0.4,0.4,0.6,0.2,0.0,0.0,0.4,0.2,0.8,0.0,0.2,0.0,0.4,0.0,0.0,0.2,0.6,0.0,0.2,0.4,0.6,0.6,0.8,0.8,0.6,0.6,0.6,0.6,0.8,0.8,0.8,0.8,0.6,0.8,0.8,0.8,0.8,1.0,1.0,1.0,1.0,1.0,1.0,0.6,0.6,0.6,0.6,1.0,0.6,0.8,0.8,1.0,0.8,0.6,1.0,1.0,0.6,1.0,0.8,0.8,1.0,0.8,0.8,0.0,0.8,1.0,0.8,0.8,0.4,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2,1.0,0.4,0.6,0.8,0.8,0.6,0.8,0.2,0.6,1.0,0.8,1.0,1.0,1.0,1.0,,,,,,
Marketing and Customer Experience,Customer Insight,Predictive Models,0.1,1.0,0.9666666666666667,0.4,0.6,0.5666666666666667,0.8,0.9666666666666667,1.0,0.13333333333333333,0.23333333333333334,0.6,0.16666666666666666,0.6,0.1,0.13333333333333333,0.4,0.2,0.2,0.5666666666666667,0.4,0.8333333333333334,0.26666666666666666,0.06666666666666667,0.13333333333333333,0.4666666666666667,0.16666666666666666,0.26666666666666666,0.0,0.06666666666666667,0.0,0.6333333333333333,0.03333333333333333,0.13333333333333333,0.5666666666666667,0.4,0.13333333333333333,0.13333333333333333,0.2,0.6,0.3333333333333333,0.7666666666666667,0.7666666666666667,0.3,0.3333333333333333,0.3333333333333333,0.4,0.7666666666666667,0.7,0.7,0.7,0.3333333333333333,0.8666666666666667,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.2,0.3,0.3,0.3,1.0,0.3333333333333333,0.8666666666666667,0.8666666666666667,0.9666666666666667,0.7,0.3333333333333333,0.9666666666666667,0.9666666666666667,0.6,0.9666666666666667,0.8666666666666667,0.8333333333333334,0.8666666666666667,0.7,0.4,0.03333333333333333,0.4,0.36666666666666664,0.36666666666666664,0.4,0.1,0.03333333333333333,0.8666666666666667,0.9,0.8666666666666667,0.9333333333333333,0.9666666666666667,0.9333333333333333,0.9,0.03333333333333333,0.8333333333333334,0.23333333333333334,0.3,0.3,0.4,0.23333333333333334,0.26666666666666666,0.1,0.26666666666666666,0.8666666666666667,0.3333333333333333,0.9666666666666667,0.9666666666666667,0.9666666666666667,0.9666666666666667,,,,,,
Marketing and Customer Experience,Customer Insight,Event Detection,0.07692307692307693,0.5576923076923077,1.0,0.34615384615384615,0.6538461538461539,0.5384615384615384,0.6538461538461539,0.5384615384615384,1.0,0.11538461538461539,0.25,0.46153846153846156,0.19230769230769232,0.5576923076923077,0.19230769230769232,0.1346153846153846,0.4230769230769231,0.15384615384615385,0.2692307692307692,0.4807692307692308,0.40384615384615385,0.75,0.3076923076923077,0.09615384615384616,0.19230769230769232,0.4423076923076923,0.17307692307692307,0.17307692307692307,0.019230769230769232,0.057692307692307696,0.0,0.4423076923076923,0.07692307692307693,0.1346153846153846,0.4807692307692308,0.38461538461538464,0.11538461538461539,0.19230769230769232,0.17307692307692307,0.6538461538461539,0.28846153846153844,0.6923076923076923,0.6923076923076923,0.23076923076923078,0.25,0.25,0.28846153846153844,0.5961538461538461,0.6346153846153846,0.6346153846153846,0.6346153846153846,0.25,0.8269230769230769,0.7115384615384616,0.7115384615384616,0.7115384615384616,0.9423076923076923,0.9423076923076923,0.9423076923076923,0.9423076923076923,0.9423076923076923,0.9423076923076923,0.17307692307692307,0.25,0.25,0.25,1.0,0.25,0.8269230769230769,0.8461538461538461,0.9615384615384616,0.6346153846153846,0.25,0.9615384615384616,0.9615384615384616,0.6346153846153846,0.9423076923076923,0.8461538461538461,0.7115384615384616,0.75,0.6346153846153846,0.28846153846153844,0.0,0.28846153846153844,0.2692307692307692,0.2692307692307692,0.28846153846153844,0.07692307692307693,0.019230769230769232,0.6923076923076923,0.7307692307692307,0.7307692307692307,0.8076923076923077,0.8461538461538461,0.8076923076923077,0.7884615384615384,0.038461538461538464,0.6538461538461539,0.1346153846153846,0.23076923076923078,0.23076923076923078,0.28846153846153844,0.19230769230769232,0.17307692307692307,0.057692307692307696,0.19230769230769232,0.75,0.3269230769230769,0.8653846153846154,0.8653846153846154,0.8653846153846154,0.8461538461538461,,,,,,
Marketing and Customer Experience,Customer Insight,Customer Value,0.11538461538461539,0.46153846153846156,0.6923076923076923,1.0,0.7692307692307693,0.38461538461538464,0.5769230769230769,0.4230769230769231,1.0,0.07692307692307693,0.3076923076923077,0.15384615384615385,0.19230769230769232,0.34615384615384615,0.23076923076923078,0.07692307692307693,0.5384615384615384,0.15384615384615385,0.2692307692307692,0.19230769230769232,0.2692307692307692,0.5769230769230769,0.11538461538461539,0.07692307692307693,0.038461538461538464,0.23076923076923078,0.07692307692307693,0.3076923076923077,0.038461538461538464,0.07692307692307693,0.0,0.2692307692307692,0.038461538461538464,0.0,0.34615384615384615,0.6153846153846154,0.038461538461538464,0.15384615384615385,0.23076923076923078,0.6153846153846154,0.5,0.6538461538461539,0.6538461538461539,0.4230769230769231,0.5384615384615384,0.5384615384615384,0.5384615384615384,0.6538461538461539,0.5384615384615384,0.5384615384615384,0.5384615384615384,0.5384615384615384,0.7692307692307693,0.6153846153846154,0.6153846153846154,0.6153846153846154,0.8461538461538461,0.8461538461538461,0.8461538461538461,0.8461538461538461,0.8461538461538461,0.8461538461538461,0.5,0.5384615384615384,0.5384615384615384,0.5769230769230769,1.0,0.5,0.7692307692307693,0.8076923076923077,1.0,0.5384615384615384,0.5,1.0,1.0,0.5769230769230769,0.9230769230769231,0.8076923076923077,0.6538461538461539,0.7692307692307693,0.5769230769230769,0.6153846153846154,0.11538461538461539,0.6153846153846154,0.5769230769230769,0.5,0.6153846153846154,0.15384615384615385,0.11538461538461539,0.7692307692307693,0.8846153846153846,1.0,0.9230769230769231,1.0,0.9230769230769231,1.0,0.15384615384615385,0.5384615384615384,0.34615384615384615,0.5384615384615384,0.5384615384615384,0.6153846153846154,0.5,0.34615384615384615,0.11538461538461539,0.38461538461538464,0.7692307692307693,0.4230769230769231,1.0,1.0,1.0,0.8461538461538461,,,,,,
Marketing and Customer Experience,Customer Insight,"Customer, Product & Channel  insight",0.07272727272727272,0.32727272727272727,0.6181818181818182,0.36363636363636365,1.0,0.43636363636363634,0.5272727272727272,0.3090909090909091,1.0,0.16363636363636364,0.32727272727272727,0.2,0.23636363636363636,0.32727272727272727,0.14545454545454545,0.12727272727272726,0.4,0.2727272727272727,0.34545454545454546,0.2,0.2727272727272727,0.5636363636363636,0.2,0.12727272727272726,0.12727272727272726,0.18181818181818182,0.21818181818181817,0.2,0.03636363636363636,0.07272727272727272,0.0,0.16363636363636364,0.03636363636363636,0.01818181818181818,0.34545454545454546,0.4909090909090909,0.07272727272727272,0.18181818181818182,0.2909090909090909,0.6727272727272727,0.4,0.6181818181818182,0.6181818181818182,0.3090909090909091,0.36363636363636365,0.34545454545454546,0.4,0.5636363636363636,0.6181818181818182,0.6181818181818182,0.6181818181818182,0.38181818181818183,0.8363636363636363,0.6545454545454545,0.6545454545454545,0.6545454545454545,0.8545454545454545,0.8545454545454545,0.8545454545454545,0.8545454545454545,0.8545454545454545,0.8545454545454545,0.2727272727272727,0.32727272727272727,0.32727272727272727,0.36363636363636365,1.0,0.34545454545454546,0.8363636363636363,0.8545454545454545,0.9454545454545454,0.6181818181818182,0.34545454545454546,0.9454545454545454,0.9454545454545454,0.6545454545454545,0.9090909090909091,0.8545454545454545,0.6727272727272727,0.6727272727272727,0.6363636363636364,0.36363636363636365,0.05454545454545454,0.36363636363636365,0.34545454545454546,0.32727272727272727,0.38181818181818183,0.09090909090909091,0.05454545454545454,0.4909090909090909,0.5636363636363636,0.5818181818181818,0.7454545454545455,0.7454545454545455,0.7272727272727273,0.6909090909090909,0.05454545454545454,0.43636363636363634,0.18181818181818182,0.3090909090909091,0.3090909090909091,0.34545454545454546,0.2727272727272727,0.2545454545454545,0.09090909090909091,0.21818181818181817,0.6727272727272727,0.4,0.8363636363636363,0.8363636363636363,0.8363636363636363,0.7818181818181819,,,,,,
Marketing and Customer Experience,Customer Insight,Conduct  Risk Monitoring,0.09090909090909091,0.38636363636363635,0.6363636363636364,0.22727272727272727,0.5454545454545454,1.0,0.38636363636363635,0.36363636363636365,1.0,0.13636363636363635,0.18181818181818182,0.36363636363636365,0.11363636363636363,0.36363636363636365,0.06818181818181818,0.06818181818181818,0.29545454545454547,0.09090909090909091,0.4772727272727273,0.36363636363636365,0.2727272727272727,0.5454545454545454,0.25,0.09090909090909091,0.18181818181818182,0.38636363636363635,0.1590909090909091,0.13636363636363635,0.0,0.045454545454545456,0.0,0.3181818181818182,0.06818181818181818,0.045454545454545456,0.4090909090909091,0.3409090909090909,0.09090909090909091,0.22727272727272727,0.22727272727272727,0.6363636363636364,0.2727272727272727,0.6818181818181818,0.6818181818181818,0.25,0.2727272727272727,0.22727272727272727,0.25,0.6136363636363636,0.6590909090909091,0.6590909090909091,0.6590909090909091,0.2727272727272727,0.75,0.6818181818181818,0.6818181818181818,0.6818181818181818,0.9772727272727273,0.9772727272727273,0.9772727272727273,1.0,0.9772727272727273,1.0,0.25,0.22727272727272727,0.22727272727272727,0.22727272727272727,1.0,0.2727272727272727,0.75,0.7272727272727273,1.0,0.6590909090909091,0.2727272727272727,1.0,1.0,0.6136363636363636,0.8636363636363636,0.75,0.6818181818181818,0.8636363636363636,0.6590909090909091,0.20454545454545456,0.0,0.20454545454545456,0.22727272727272727,0.18181818181818182,0.22727272727272727,0.06818181818181818,0.045454545454545456,0.6363636363636364,0.6363636363636364,0.5227272727272727,0.6818181818181818,0.6818181818181818,0.6818181818181818,0.6590909090909091,0.022727272727272728,0.5681818181818182,0.06818181818181818,0.20454545454545456,0.18181818181818182,0.20454545454545456,0.1590909090909091,0.13636363636363635,0.045454545454545456,0.11363636363636363,0.8636363636363636,0.22727272727272727,0.7954545454545454,0.7954545454545454,0.7954545454545454,0.8409090909090909,,,,,,
Marketing and Customer Experience,Customer Insight,Insight Led Customer Strategy,0.061224489795918366,0.4897959183673469,0.6938775510204082,0.30612244897959184,0.5918367346938775,0.3469387755102041,1.0,0.46938775510204084,1.0,0.10204081632653061,0.3469387755102041,0.4489795918367347,0.32653061224489793,0.5714285714285714,0.1836734693877551,0.16326530612244897,0.42857142857142855,0.2857142857142857,0.16326530612244897,0.46938775510204084,0.42857142857142855,0.6938775510204082,0.2857142857142857,0.10204081632653061,0.14285714285714285,0.2857142857142857,0.1836734693877551,0.14285714285714285,0.0,0.14285714285714285,0.0,0.4489795918367347,0.08163265306122448,0.14285714285714285,0.42857142857142855,0.5510204081632653,0.10204081632653061,0.16326530612244897,0.24489795918367346,0.673469387755102,0.20408163265306123,0.6122448979591837,0.6122448979591837,0.24489795918367346,0.2653061224489796,0.24489795918367346,0.2857142857142857,0.5102040816326531,0.5510204081632653,0.5510204081632653,0.5510204081632653,0.2857142857142857,0.8163265306122449,0.6122448979591837,0.6122448979591837,0.6122448979591837,0.7959183673469388,0.7959183673469388,0.7959183673469388,0.7959183673469388,0.7959183673469388,0.7959183673469388,0.1836734693877551,0.2653061224489796,0.2653061224489796,0.30612244897959184,1.0,0.24489795918367346,0.8163265306122449,0.8367346938775511,0.9183673469387755,0.5510204081632653,0.24489795918367346,0.9183673469387755,0.9183673469387755,0.673469387755102,0.9183673469387755,0.8367346938775511,0.6326530612244898,0.5714285714285714,0.5714285714285714,0.24489795918367346,0.02040816326530612,0.24489795918367346,0.24489795918367346,0.20408163265306123,0.24489795918367346,0.061224489795918366,0.0,0.6122448979591837,0.5918367346938775,0.7142857142857143,0.8163265306122449,0.7959183673469388,0.7959183673469388,0.7959183673469388,0.02040816326530612,0.5102040816326531,0.1836734693877551,0.22448979591836735,0.2653061224489796,0.22448979591836735,0.20408163265306123,0.1836734693877551,0.08163265306122448,0.20408163265306123,0.5714285714285714,0.3469387755102041,0.8979591836734694,0.8979591836734694,0.8979591836734694,0.7755102040816326,,,,,,
Marketing and Customer Experience,Customer Insight,Customer Segmentation,0.10344827586206896,1.0,0.9655172413793104,0.3793103448275862,0.5862068965517241,0.5517241379310345,0.7931034482758621,1.0,1.0,0.10344827586206896,0.20689655172413793,0.5862068965517241,0.13793103448275862,0.5862068965517241,0.10344827586206896,0.10344827586206896,0.3793103448275862,0.1724137931034483,0.1724137931034483,0.5517241379310345,0.3793103448275862,0.8275862068965517,0.2413793103448276,0.034482758620689655,0.10344827586206896,0.4827586206896552,0.1724137931034483,0.27586206896551724,0.0,0.06896551724137931,0.0,0.6551724137931034,0.034482758620689655,0.13793103448275862,0.5517241379310345,0.3793103448275862,0.10344827586206896,0.10344827586206896,0.1724137931034483,0.5862068965517241,0.3103448275862069,0.7586206896551724,0.7586206896551724,0.27586206896551724,0.3103448275862069,0.3103448275862069,0.3793103448275862,0.7586206896551724,0.6896551724137931,0.6896551724137931,0.6896551724137931,0.3103448275862069,0.8620689655172413,0.8275862068965517,0.8275862068965517,0.8275862068965517,0.9310344827586207,0.9310344827586207,0.9310344827586207,0.9310344827586207,0.9310344827586207,0.9310344827586207,0.20689655172413793,0.27586206896551724,0.27586206896551724,0.27586206896551724,1.0,0.3103448275862069,0.8620689655172413,0.8620689655172413,0.9655172413793104,0.6896551724137931,0.3103448275862069,0.9655172413793104,0.9655172413793104,0.5862068965517241,0.9655172413793104,0.8620689655172413,0.8275862068965517,0.8620689655172413,0.6896551724137931,0.3793103448275862,0.034482758620689655,0.3793103448275862,0.3448275862068966,0.3448275862068966,0.3793103448275862,0.10344827586206896,0.034482758620689655,0.8620689655172413,0.896551724137931,0.8620689655172413,0.9310344827586207,0.9655172413793104,0.9310344827586207,0.896551724137931,0.034482758620689655,0.8275862068965517,0.20689655172413793,0.27586206896551724,0.27586206896551724,0.3793103448275862,0.20689655172413793,0.2413793103448276,0.06896551724137931,0.2413793103448276,0.8620689655172413,0.3103448275862069,0.9655172413793104,0.9655172413793104,0.9655172413793104,0.9655172413793104,,,,,,
Marketing and Customer Experience,Customer Insight,Big Data Analytics,0.04424778761061947,0.26548672566371684,0.46017699115044247,0.23008849557522124,0.48672566371681414,0.3893805309734513,0.4336283185840708,0.25663716814159293,1.0,0.08849557522123894,0.17699115044247787,0.2831858407079646,0.18584070796460178,0.34513274336283184,0.12389380530973451,0.12389380530973451,0.2743362831858407,0.18584070796460178,0.23893805309734514,0.26548672566371684,0.21238938053097345,0.4247787610619469,0.1592920353982301,0.08849557522123894,0.1415929203539823,0.20353982300884957,0.168141592920354,0.13274336283185842,0.035398230088495575,0.10619469026548672,0.008849557522123894,0.23008849557522124,0.13274336283185842,0.09734513274336283,0.3185840707964602,0.34513274336283184,0.07964601769911504,0.12389380530973451,0.17699115044247787,0.5752212389380531,0.2920353982300885,0.5752212389380531,0.5752212389380531,0.22123893805309736,0.3185840707964602,0.3185840707964602,0.3274336283185841,0.49557522123893805,0.5309734513274337,0.5398230088495575,0.5309734513274337,0.3185840707964602,0.7345132743362832,0.5663716814159292,0.5752212389380531,0.5663716814159292,0.7787610619469026,0.7876106194690266,0.7787610619469026,0.7876106194690266,0.7876106194690266,0.7876106194690266,0.23008849557522124,0.3185840707964602,0.3185840707964602,0.336283185840708,1.0,0.3008849557522124,0.7345132743362832,0.7345132743362832,0.9292035398230089,0.5309734513274337,0.3008849557522124,0.9292035398230089,0.9292035398230089,0.5663716814159292,0.8407079646017699,0.7433628318584071,0.5752212389380531,0.7079646017699115,0.5398230088495575,0.35398230088495575,0.05309734513274336,0.35398230088495575,0.336283185840708,0.26548672566371684,0.37168141592920356,0.08849557522123894,0.09734513274336283,0.5398230088495575,0.5929203539823009,0.5663716814159292,0.6902654867256637,0.6902654867256637,0.6637168141592921,0.7079646017699115,0.05309734513274336,0.415929203539823,0.12389380530973451,0.3008849557522124,0.2831858407079646,0.3274336283185841,0.2743362831858407,0.17699115044247787,0.061946902654867256,0.1504424778761062,0.7079646017699115,0.25663716814159293,0.8495575221238938,0.8495575221238938,0.8495575221238938,0.7345132743362832,,,,,,
Marketing and Customer Experience,Customer Insight,Customer Managed Relationships,0.1,0.4,0.6,0.2,0.9,0.6,0.5,0.3,1.0,1.0,0.4,0.4,0.2,0.4,0.1,0.3,0.5,0.5,0.4,0.3,0.3,0.6,0.4,0.2,0.3,0.2,0.1,0.1,0.0,0.1,0.0,0.2,0.1,0.0,0.6,0.6,0.2,0.4,0.5,0.6,0.5,0.8,0.8,0.4,0.4,0.3,0.4,0.7,0.9,0.9,0.9,0.4,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.1,0.3,0.3,0.3,1.0,0.4,0.9,0.9,0.9,0.9,0.4,0.9,0.9,0.6,0.9,0.9,0.9,0.7,0.9,0.3,0.0,0.3,0.4,0.4,0.4,0.1,0.1,0.6,0.5,0.4,0.7,0.8,0.7,0.4,0.0,0.5,0.2,0.3,0.3,0.3,0.3,0.4,0.3,0.3,0.7,0.4,0.9,0.9,0.9,1.0,,,,,,
