"Parent_Entity","Child_Entity","Cardinality","FK_Columns","Relationship_Type"
"ACCESS_DEVICE","ACCESS_DEVICE_ACTIVATE_EVENT","0:M","","association"
"ACCESS_DEVICE","ACCESS_DEVICE_EVENT","0:M","","association"
"ACCESS_DEVICE","ACCESS_DEVICE_FEATURE","0:M","","association"
"ACCESS_DEVICE","ACCESS_DEVICE_LIMIT","0:M","","association"
"ACCESS_DEVICE","ACCESS_DEVICE_PIN","0:M","","association"
"ACCESS_DEVICE","ACCESS_DEVICE_RELATED_is_related_to","0:M","","association"
"ACCESS_DEVICE","ACCESS_DEVICE_RELATED_is_related_with","0:M","","association"
"ACCESS_DEVICE","ACCESS_DEVICE_STATUS","0:M","","association"
"ACCESS_DEVICE","AGREEMENT_ACCESS_DEVICE","0:M","","association"
"ACCESS_DEVICE","CARD_STATEMENT","0:M","","association"
"ACCESS_DEVICE","CARD_STATEMENT_LINE_ITEM","0:M","","association"
"ACCESS_DEVICE","CELL_TARGET_ACCESS_DEVICE","0:M","","association"
"ACCESS_DEVICE","INTERACTIVE_DEVICE","0:1","","association"
"ACCESS_DEVICE","PARTY_ACCESS_DEVICE","0:M","","association"
"ACCESS_DEVICE_EVENT","NETWORK_ACCESS_DEVICE_EVENT","0:M","","association"
"ACCESS_DEVICE_EVENT_RISK_REASON_TYPE","CREDIT_AUTHORIZATION","0:M","","association"
"ACCESS_DEVICE_METHOD_TYPE","ACCESS_DEVICE_EVENT","0:M","","association"
"ACCESS_DEVICE_PIN_REASON_TYPE","ACCESS_DEVICE_PIN","0:M","","association"
"ACCESS_DEVICE_REASON_TYPE","ACCESS_DEVICE_STATUS","0:M","","association"
"ACCESS_DEVICE_RELATED_TYPE","ACCESS_DEVICE_RELATED","0:M","","association"
"ACCESS_DEVICE_STATUS_TYPE","ACCESS_DEVICE_STATUS","0:M","","association"
"ACCESS_DEVICE_SUBTYPE","ACCESS_DEVICE","0:M","","association"
"ACCESS_DEVICE_VERIFICATION_RESPONSE_TYPE","CREDIT_AUTHORIZATION","0:M","","association"
"ACCESS_DEVICE_VERIFY_TYPE","ACCESS_DEVICE_EVENT","0:M","","association"
"ACCESS_MEDIUM_TYPE","ACCESS_DEVICE","0:M","","association"
"ACCESS_MEDIUM_TYPE","CONTACT_EVENT","0:M","","association"
"ACCIDENT_TYPE","ACCIDENT_TYPE","0:M","","association"
"ACCIDENT_TYPE","CLAIM_INSURABLE_INTEREST_ACCIDENT","0:M","","association"
"ACCOUNT","ACCOUNT_METRIC","0:M","","association"
"ACCOUNT","ACCOUNT_RENEWAL","0:M","","association"
"ACCOUNT","EXTERNAL_DIRECT_DEBIT","0:M","","association"
"ACCOUNT","EXTERNAL_STANDING_ORDER","0:M","","association"
"ACCOUNT","INTERBANK_EVENT","0:M","","association"
"ACCOUNT","PARTY_ACCOUNT","0:M","","association"
"ACCOUNT","PAYMENT_INSTRUCTION_ACCOUNT","0:M","","association"
"ACCOUNTING_TYPE","ACCOUNTING_CURRENCY","0:M","","association"
"ACCOUNTS_PAYABLE","DEPRECIABLE_ASSET_ACCOUNT_PAYABLE","0:M","","association"
"ACCOUNT_INVOLVEMENT_SUBTYPE","ACCOUNT","0:M","","association"
"ACCOUNT_METRIC_TYPE","ACCOUNT_METRIC","0:M","","association"
"ACCOUNT_PURPOSE_SUBTYPE","ACCOUNT","0:M","","association"
"ACCOUNT_TYPE","ACCOUNT","0:M","","association"
"ACTIVITY_GROUP","ACTIVITY_ACTIVITY_GROUP","0:M","","association"
"ACTIVITY_GROUP","ACTIVITY_GROUP","0:M","","association"
"ACTUAL_IMPACT_AREA","ACTUAL_IMPACT_AREA_METRIC","0:M","","association"
"AD","AD_CAMPAIGN_OBJECTIVE","0:M","","association"
"AD","AD_CONTACT_XREF","0:M","","association"
"AD","AD_CREATIVE","0:M","","association"
"AD","AD_EVENT","0:M","","association"
"AD","AD_IMPRESSION_SUMMARY","0:M","","association"
"AD","AD_OFFER","0:M","","association"
"AD","AD_ORDER_HEADER","0:M","","association"
"AD","AD_PERFORMANCE_RATING","0:M","","association"
"AD","AD_PRODUCT_XREF","0:M","","association"
"AD","AD_RATING_XREF","0:M","","association"
"AD","AD_RELATED_is_related_to","0:M","","association"
"AD","AD_RELATED_is_related_with","0:M","","association"
"AD","AD_SPOT_PLACEMENT_XREF","0:M","","association"
"AD","AD_STATUS","0:M","","association"
"AD","AD_TRAIT","0:M","","association"
"AD","APPLICATION_SECOND_SOURCE_XREF","0:M","","association"
"AD","CAMPAIGN_CELL_AD","0:M","","association"
"AD","CONTENT_DELIVERY_XREF","0:M","","association"
"AD","DIGITAL_PLACEMENT_XREF","0:M","","association"
"AD","ONLINE_APPLICATION_ACCESS_AD_XREF","0:M","","association"
"AD","PROMOTION_EXPENSE_XREF","0:M","","association"
"AD","PROMOTION_OFFER","0:M","","association"
"AD","WEB_PAGE_VIEW","0:M","","association"
"AD","WEB_PAGE_VIEW_AD_SUMMARY","0:M","","association"
"ADDRESS","ADDRESS_DELIVERY_STATUS","0:M","","association"
"ADDRESS","PARTY_ADDRESS","0:M","","association"
"ADDRESS","TRAVEL_PLAN_CONTACT","0:M","","association"
"ADDRESS_SUBTYPE","ADDRESS","0:M","","association"
"ADJUDICATION_AMOUNT_TYPE","CLAIM_ADJUDICATION_AMOUNT","0:M","","association"
"ADJUDICATION_AMOUNT_TYPE","CLAIM_COVERAGE_ADJUDICATION_AMOUNT","0:M","","association"
"ADJUDICATION_AMOUNT_TYPE","CLAIM_SERVICE_ADJUDICATION_AMOUNT","0:M","","association"
"ADJUDICATION_TYPE","CLAIM_ADJUDICATION","0:M","","association"
"ADJUSTED_EARNING_SUBTYPE","ADJUSTED_EARNING","0:M","","association"
"ADJUSTMENT_REASON_TYPE","AP_INVOICE_LINE_ADJUSTMENT","0:M","","association"
"ADJUSTMENT_REASON_TYPE","AR_INVOICE_LINE_ADJUSTMENT","0:M","","association"
"ADJUSTMENT_REASON_TYPE","INVOICE_ADJUSTMENT","0:M","","association"
"ADJUSTMENT_TYPE","AP_INVOICE_LINE_ADJUSTMENT","0:M","","association"
"ADJUSTMENT_TYPE","AR_INVOICE_LINE_ADJUSTMENT","0:M","","association"
"ADJUSTMENT_TYPE","INVOICE_ADJUSTMENT","0:M","","association"
"ADMINISTRATION_ROUTE_TYPE","DRUG_NDC__GEO","0:M","","association"
"ADMISSION_SOURCE_TYPE","ADMISSION_AUTHORIZATION","0:M","","association"
"ADMISSION_SOURCE_TYPE","INSTITUTIONAL_CLAIM","0:M","","association"
"ADMISSION_TYPE","ADMISSION_AUTHORIZATION","0:M","","association"
"ADMISSION_TYPE","INSTITUTIONAL_CLAIM","0:M","","association"
"ADVERTISEMENT_SPOT_TYPE","TRADITIONAL_PLACEMENT","0:M","","association"
"AD_DELIVERY_TYPE","DIGITAL_PLACEMENT","0:M","","association"
"AD_DELIVERY_TYPE","TRADITIONAL_PLACEMENT","0:M","","association"
"AD_EVENT_TYPE","AD_EVENT","0:M","","association"
"AD_IDENTIFIER","AD","0:M","","association"
"AD_IDENTIFIER_DEFINITION_TYPE","AD_IDENTIFIER","0:M","","association"
"AD_IDENTIFIER_PREFIX_TYPE","AD_IDENTIFIER","0:M","","association"
"AD_NETWORK","AD_NETWORK_WEB_SITE","0:1","","association"
"AD_ORDER_DIGITAL_TYPE","DIGITAL_ORDER","0:M","","association"
"AD_ORDER_HEADER","AD_ORDER_COMMISSION","0:M","","association"
"AD_ORDER_HEADER","AD_ORDER_EVENT","0:M","","association"
"AD_ORDER_HEADER","AD_ORDER_HEADER_DETAIL","0:M","","association"
"AD_ORDER_HEADER","AD_ORDER_HEADER_PLATFORM_XREF","0:M","","association"
"AD_ORDER_HEADER","AD_ORDER_LINE","0:M","","association"
"AD_ORDER_HEADER","AD_ORDER_PARTY","0:M","","association"
"AD_ORDER_HEADER","AD_ORDER_STATUS","0:M","","association"
"AD_ORDER_HEADER_REVENUE_TYPE","AD_ORDER_HEADER_DETAIL","0:M","","association"
"AD_ORDER_HEADER_SUBTYPE","AD_ORDER_HEADER","0:M","","association"
"AD_ORDER_HEADER_VALUE","AD_ORDER_HEADER_DETAIL","0:M","","association"
"AD_ORDER_LINE","AD_ORDER_LINE_DETAIL","0:M","","association"
"AD_ORDER_LINE","AD_ORDER_LINE_STATUS","0:M","","association"
"AD_ORDER_LINE_CATEGORY","AD_ORDER_LINE_DETAIL","0:M","","association"
"AD_ORDER_LINE_STATUS_TYPE","AD_ORDER_LINE_STATUS","0:M","","association"
"AD_ORDER_LINE_TYPE","AD_ORDER_LINE_DETAIL","0:M","","association"
"AD_ORDER_MAKE_GOOD_REASON_TYPE","MAKE_GOOD_ORDER","0:M","","association"
"AD_ORDER_MAKE_GOOD_SUBTYPE","MAKE_GOOD_ORDER","0:M","","association"
"AD_ORDER_PARTY_ROLE","AD_ORDER_PARTY","0:M","","association"
"AD_ORDER_STATUS_TYPE","AD_ORDER_STATUS","0:M","","association"
"AD_ORDER_TRADITIONAL_TYPE","TRADITIONAL_ORDER","0:M","","association"
"AD_ORDER_TYPE","AD_ORDER_HEADER_DETAIL","0:M","","association"
"AD_PERFORMANCE_RATING","AD_PERFORMANCE_RATING_DAYPART","0:M","","association"
"AD_PLACEMENT","AD_ORDER_LINE_DETAIL","0:M","","association"
"AD_PLACEMENT","AD_PLACEMENT_DISPLAY_TIME","0:M","","association"
"AD_PLACEMENT","AD_SPOT_PLACEMENT_XREF","0:M","","association"
"AD_PLACEMENT","ORDER_PLACEMENT_DAYPART","0:M","","association"
"AD_PLACEMENT","ORDER_PLACEMENT_DEMOGRAPHIC","0:M","","association"
"AD_PLACEMENT","ORDER_PLACEMENT_DISPLAY_TIME","0:M","","association"
"AD_PLACEMENT_SUBTYPE","AD_PLACEMENT","0:M","","association"
"AD_RATING","AD_RATING_XREF","0:M","","association"
"AD_RATING_REASON","AD_RATING_REASON_XREF","0:M","","association"
"AD_RATING_SYSTEM","AD_RATING","0:M","","association"
"AD_RATING_XREF","AD_RATING_REASON_XREF","0:M","","association"
"AD_RELATED_TYPE","AD_RELATED","0:M","","association"
"AD_SPONSORSHIP_CATEGORY_TYPE","AD_CAMPAIGN_OBJECTIVE","0:M","","association"
"AD_SPONSORSHIP_PROGRAM_TYPE","AD_CAMPAIGN_OBJECTIVE","0:M","","association"
"AD_SPOT","AD_ORDER_EXPENSE_FORECAST","0:M","","association"
"AD_SPOT","AD_ORDER_HEADER_PLATFORM_XREF","0:M","","association"
"AD_SPOT","AD_ORDER_REVENUE_FORECAST","0:M","","association"
"AD_SPOT","AD_PLACEMENT","0:M","","association"
"AD_SPOT","AD_SPOT_GROUP_XREF","0:M","","association"
"AD_SPOT_GROUP","AD_SPOT_GROUP_XREF","0:M","","association"
"AD_SPOT_GROUP","POD_PLACEMENT","0:M","","association"
"AD_STATUS_TYPE","AD_STATUS","0:M","","association"
"AD_SUBCATEGORY","AD_SUBTYPE","0:M","","association"
"AD_SUBTYPE","AD","0:M","","association"
"AD_TRACKING_TYPE","DIGITAL_PLACEMENT","0:M","","association"
"AD_TRACKING_TYPE","TRADITIONAL_PLACEMENT","0:M","","association"
"AFTER_TAX_DEDUCTION_SUBTYPE","AFTER_TAX_DEDUCTION","0:M","","association"
"AGENT_COMMISSION_OPTION_TYPE","AGENT_APPLICATION_DETAIL","0:M","","association"
"AGENT_INDEPENDENCE_TYPE","INSURANCE_AGENT","0:M","","association"
"AGENT_PARTICIPATION_TYPE","AGENT_APPLICATION_DETAIL","0:M","","association"
"AGE_DETERMINATION_TYPE","INDIVIDUAL_MORTALITY","0:M","","association"
"AGREEMENT","ACCOUNT","0:1","","association"
"AGREEMENT","AD_ORDER_HEADER_DETAIL","0:M","","association"
"AGREEMENT","AGREEMENT_ABUSE","0:M","","association"
"AGREEMENT","AGREEMENT_ACCESS_DEVICE","0:M","","association"
"AGREEMENT","AGREEMENT_AGREEMENT_CLASS_XREF","0:M","","association"
"AGREEMENT","AGREEMENT_AGREEMENT_GROUP","0:M","","association"
"AGREEMENT","AGREEMENT_APPLICATION","0:M","","association"
"AGREEMENT","AGREEMENT_ASSET","0:M","","association"
"AGREEMENT","AGREEMENT_BALANCE_TYPE_METRIC","0:M","","association"
"AGREEMENT","AGREEMENT_CASE","0:M","","association"
"AGREEMENT","AGREEMENT_CHANNEL","0:M","","association"
"AGREEMENT","AGREEMENT_CHANNEL_TYPE","0:M","","association"
"AGREEMENT","AGREEMENT_CHART_OF_ACCOUNTS","0:M","","association"
"AGREEMENT","AGREEMENT_COLLATERAL_ITEM","0:M","","association"
