"Entity","Attribute","DataType","PK","FK","Nullable","Description"
"ACCESS DEVICE","Access Device Id","N/A (LDM)","Y","","","A unique identifier for the ACCESS DEVICE. There is one instance for each physical device."
"ACCESS DEVICE","Access Device Interactive Ind","N/A (LDM)","","","",""
"ACCESS DEVICE ACTIVATE EVENT","","N/A (LDM)","","","","A type of CONTACT EVENT whereby an ACCESS DEVICE such as a CREDIT CARD is activated using a channel such as a telephone."
"ACCESS DEVICE DESCRIPTIVE FEATURE","","N/A (LDM)","","","","This is a type of descriptive feature that indicates that an access device such as credit, debit, or ATM card is an available feature for an account."
"ACCESS DEVICE EVENT","Access Device Event Id","N/A (LDM)","Y","","","The unique identifier assigned to an event."
"ACCESS DEVICE EVENT","Access Device Num","N/A (LDM)","","","","The number that appears on the ACCESS DEVICE used in the event.  ACCESS DEVICE EVENT may be a withdrawal by somebody from a different bank with whom the Financial Institution has a 'guest agreement.' In that case, Access Device Id is not known, only Access Device Num, as the 'foreign' Card is not known to the data warehouse. For this reason, both Access Device Id and Access Device Num are both needed."
"ACCESS DEVICE EVENT","Card Num","N/A (LDM)","","","",""
"ACCESS DEVICE FEATURE","","N/A (LDM)","","","","Identifies characteristics associated with an ACCESS DEVICE such as color, shape, size, and image of the device."
"ACCESS DEVICE LIMIT","Access Device Limit Start Dt","N/A (LDM)","Y","","","The date the indicated limit became effective for the account ACCESS DEVICE."
"ACCESS DEVICE LIMIT","Access Device Limit End Dt","N/A (LDM)","","","","The date the indicated limit became ineffective for the account ACCESS DEVICE."
"ACCESS DEVICE LIMIT","Access Device Limit Val","N/A (LDM)","","","","The value of the limit. This could be a dollar amount or an integer."
"ACCESS DEVICE LIMIT","Access Device Limit Amt","N/A (LDM)","","","","The limit expressed as an amount."
"ACCESS DEVICE METHOD TYPE","Access Device Method Type Cd","N/A (LDM)","Y","","","A code entity describes the access method of an access device event such as magnetic stripe, chip, and optical."
"ACCESS DEVICE METHOD TYPE","Access Device Method Type Desc","N/A (LDM)","","","","A description of the code."
"ACCESS DEVICE PIN","Access Device PIN Issue Dttm","N/A (LDM)","Y","","","The date the Personal Identification Number is issued to the ACCESS DEVICE."
"ACCESS DEVICE PIN","Access Device PIN Num","N/A (LDM)","","","","The Personal Identification Number issued to the ACCESS DEVICE."
"ACCESS DEVICE PIN","Access Device PIN Mailing Dttm","N/A (LDM)","","","","The date the Personal Identification Number is mailed to the ACCESS DEVICE holder."
"ACCESS DEVICE PIN","Access Device Customer Ind","N/A (LDM)","","","","Indicates that this PIN was assigned by the customer as opposed to being system assigned."
"ACCESS DEVICE PIN REASON TYPE","Access Device PIN Reason Cd","N/A (LDM)","Y","","","A code describes the reason a PIN number is issued to an ACCESS DEVICE, for example, first issue and replacement."
"ACCESS DEVICE PIN REASON TYPE","Access Device PIN Reason Desc","N/A (LDM)","","","","A description of the code."
"ACCESS DEVICE REASON TYPE","Access Device Reason Cd","N/A (LDM)","Y","","","The unique code for the reason for an ACCESS DEVICE status. For example, if the Access Device Status Type Cd is 'inactivated,' then this is the code for the reason that a card was inactivated such as over the credit limit."
"ACCESS DEVICE REASON TYPE","Access Device Reason Desc","N/A (LDM)","","","","The description of the code."
"ACCESS DEVICE RELATED","","N/A (LDM)","","","","This entity defines the relationship between two ACCESS DEVICEs, such as replaces, or issued in combination with."
"ACCESS DEVICE RELATED TYPE","Access Device Relate Type Desc","N/A (LDM)","Y","","","A description of the code."
"ACCESS DEVICE STATUS","Access Device Status Start Dttm","N/A (LDM)","Y","","","The start date and time of this status for the Access Device."
"ACCESS DEVICE STATUS","Access Device Status End Dttm","N/A (LDM)","","","","The end date and time of this status for the Access Device."
"ACCESS DEVICE STATUS TYPE","Access Device Status Cd","N/A (LDM)","Y","","","The unique code for the status of an ACCESS DEVICE such as active, not yet activated, inactivated, on hold."
"ACCESS DEVICE STATUS TYPE","Access Device Status Desc","N/A (LDM)","","","","A description for the code."
"ACCESS DEVICE SUBTYPE","Access Device Subtype Cd","N/A (LDM)","Y","","","A code for the type of device such as: - Card - Key card - Mobile phone"
"ACCESS DEVICE SUBTYPE","Access Device Subtype Desc","N/A (LDM)","","","","A description of the code."
"ACCESS DEVICE VERIFY TYPE","Access Device Verify Type Cd","N/A (LDM)","Y","","","A code describes the verification method of an access device event such as PIN, signature, or no verification."
"ACCESS DEVICE VERIFY TYPE","Access Device Verify Type Desc","N/A (LDM)","","","","A description of the code."
"ACCESS MEDIUM TYPE","Access Medium Type Cd","N/A (LDM)","Y","","","This is a code for the type of contact event access medium such as debit card, ATM card, credit card, passbook, and mobile phone."
"ACCESS MEDIUM TYPE","Access Medium Type Desc","N/A (LDM)","","","","This describes the type of access medium such as debit card, ATM card, credit card, and passbook."
"ACCIDENT EVENT","Accident Event Id","N/A (LDM)","Y","","",""
"ACCIDENT TYPE","Insurance (all LOB)","N/A (LDM)","Y","","",""
"ACCIDENT TYPE","Accident Type Cd","N/A (LDM)","","","","This code identifies the type of accident that resulted in this specific claim. Examples include automobile accident, nonvehicular accident, hurricane, and flood."
"ACCIDENT TYPE","Accident Type Desc","N/A (LDM)","","","","This is a description of the code."
"ACCIDENT TYPE","Parent Accident Type Cd","N/A (LDM)","","","","This is a higher-level classification of the accident type or cause of loss. For example, if the accident type is engine damage then a higher-level classification is automobile accident."
"ACCOUNT","Account Id","N/A (LDM)","Y","","","The unique identifier for this account."
"ACCOUNT","Account Num","N/A (LDM)","","","","The account number as represented in the source system."
"ACCOUNT","Account Name","N/A (LDM)","","","","The name for this account."
"ACCOUNT","Account Open Dt","N/A (LDM)","","","","The date the account officially opened."
"ACCOUNT","Account Close Dt","N/A (LDM)","","","","The date the account actually closed."
"ACCOUNT","Responsible Party Id","N/A (LDM)","","","","The unique identifier for any individual or group of individuals that is of interest to the enterprise.  In this context, this is the party that is primarily responsible for this account."
"ACCOUNT","Issuing Organization Party Id","N/A (LDM)","","","","The unique identifier for any individual or group of individuals that is of interest to the enterprise.  In this context, this is the party that issued the account."
"ACCOUNT INVOLVEMENT SUBTYPE","Account Involvement Subtype Cd","N/A (LDM)","Y","","","The code for the ACCOUNT INVOLVEMENT SUBTYPE.  A subtype discriminator that indicates whether the enterprise is one of the parties to the account. 'Internal' indicates the enterprise is a party to the account, and 'external' indicates that the enterprise is not a party to the account."
"ACCOUNT INVOLVEMENT SUBTYPE","Account Involvement Subtype Desc","N/A (LDM)","","","","This is a description of the code."
"ACCOUNT METRIC","Account Metric Amt","N/A (LDM)","Y","","","The metric expressed as a currency amount."
"ACCOUNT METRIC","Account Metric Cnt","N/A (LDM)","","","","The metric expressed as a count (such as reward points)."
"ACCOUNT METRIC","Account Metric Dttm","N/A (LDM)","","","","The date and time that this metric is effective."
"ACCOUNT METRIC","Account Metric Unit Of Measure Cd","N/A (LDM)","","","","The unit in which the quantity or magnitude is expressed. Can apply to any business element requiring a unit of measure.  Examples:  - For volume: Milliliter, UK dry pint, liter, liquid ounce, and cubic centimeter - For weight: Kilogram, ton, centigram, ounce, and pound - For length: mm, inch, foot, mile, and kilometer - For area: Square inch, acre, and square kilometer - For units: Each, carton, byte, and piece - For connect speed: Kilobits/second - For loyalty units: Points, miles, an"
"ACCOUNT METRIC","Account Metric Time Period Cd","N/A (LDM)","","","",""
"ACCOUNT METRIC","Account Metric Currency Cd","N/A (LDM)","","","",""
"ACCOUNT METRIC TYPE","Account Metric Type Cd","N/A (LDM)","Y","","","A code for the type of metric such as current monetary balance, current point balance, and current past due balance amount."
"ACCOUNT METRIC TYPE","Account Metric Type Desc","N/A (LDM)","","","","A description of the code."
"ACCOUNT PURPOSE SUBTYPE","Account Purpose Subtype Cd","N/A (LDM)","Y","","","The code for the ACCOUNT PURPOSE SUBTYPE.  A subtype discriminator based on the purpose of the account such as a transaction account or a loyalty account."
"ACCOUNT PURPOSE SUBTYPE","Account Purpose Subtype Desc","N/A (LDM)","","","","This is a description of the code."
"ACCOUNT RENEWAL","Account Renewal Actual Start Dttm","N/A (LDM)","Y","","","The actual start date for this renewal period."
"ACCOUNT RENEWAL","Account Renewal Planned Start Dttm","N/A (LDM)","","","","The date the account will next renew. It may be different from the planned expiration date."
"ACCOUNT RENEWAL","Account Renewal Planned Expiration Dttm","N/A (LDM)","","","","The date and time when this account is scheduled to expire for this renewal period."
"ACCOUNT RENEWAL","Account Renewal Actual Expiration Dttm","N/A (LDM)","","","","The date and time when this account actually expired for this renewal period."
"ACCOUNT TYPE","Account Type Cd","N/A (LDM)","Y","","","A classification of the account."
"ACCOUNT TYPE","Account Type Desc","N/A (LDM)","","","","A description of the code."
"ACCOUNTING CALENDAR TYPE","","N/A (LDM)","","","","This entity supports all types of accounting or fiscal calendars as required by the enterprise."
"ACCOUNTING CURRENCY","Business Unit Party Id","N/A (LDM)","Y","","","The unique identifier for any individual or group of individuals that is of interest to the enterprise.  This is the business unit of the financial institution that is usually a country organization."
"ACCOUNTING CURRENCY","Accounting Currency Start Dttm","N/A (LDM)","","","","The date when this currency became the Internal Accounting Currency (IAC)."
"ACCOUNTING CURRENCY","Accounting Currency End Dttm","N/A (LDM)","","","","The date when this currency ceased as the Internal Accounting Currency (IAC)."
"ACCOUNTING CURRENCY","Accounting Currency Cd","N/A (LDM)","","","",""
"ACCOUNTING TYPE","Accounting Type Cd","N/A (LDM)","Y","","","Global or Local currency."
"ACCOUNTING TYPE","Accounting Type Desc","N/A (LDM)","","","","A description of the code."
"ACCOUNTS PAYABLE","","N/A (LDM)","","","","The entity that provides details of ACCOUNTS PAYABLE for a company. ACCOUNTS PAYABLE records how much a company owes suppliers for the purchase of supplies or services on credit."
"ACCOUNTS RECEIVABLE","","N/A (LDM)","","","","The entity that provides details for the ACCOUNTS RECEIVABLE accounts. ACCOUNTS RECEIVABLE is the payment a company expects to collect from a PARTY, generally from a completed transaction of sales or services rendered. ACCOUNTS RECEIVABLE accounts are types of current assets."
"ACCRUED LIABILITY ACCOUNT","","N/A (LDM)","","","","The entity that provides details for the accrued liabilities. Accrued liabilities recognize expenses incurred during the accounting period but not yet paid."
"ACTIVITY ACTIVITY GROUP","","N/A (LDM)","","","","This entity associates an activity with activity groups. An activity can be associated with many groups and a group consists of many activities. This allows an activity to be grouped many ways. For example, the deposit activity may be grouped into financial account transactions and also asset related transactions."
"ACTIVITY GROUP","Activity Group Cd","N/A (LDM)","Y","","","A code for a group of activities."
"ACTIVITY GROUP","Parent Activity Group Cd","N/A (LDM)","","","","The hierarchical parent to this group."
"ACTIVITY GROUP","Activity Group Desc","N/A (LDM)","","","","The description of the code."
"ACTIVITY GROUP","Responsible Internal Organization Party Id","N/A (LDM)","","","","The unique identifier for an organization that is internal and not a legal entity.  In this context, if a business unit is responsible for the profitability of certain types of activities then this is that business unit. Used for reporting of profit of certain activity types. Assumes one business unit has responsibility for this type of activity."
"AD CONTACT XREF","Contact Event Id","N/A (LDM)","Y","","","The unique identifier assigned to an event. In this context, it is an instance of a quality contact."
"AD DELIVERY TYPE","Ad Delivery Type Cd","N/A (LDM)","Y","","","This code defines the type of delivery utilized for an impression.  Examples: - Stream - Macromedia Flash - Pop-up"
"AD DELIVERY TYPE","Ad Delivery Type Desc","N/A (LDM)","","","","A description of the code."
"AD EVENT","Page Ad Displayed Id","N/A (LDM)","Y","","","The unique identifier of a particular web page instance. The identifier of the page on which the ad was displayed."
"AD EVENT TYPE","Ad Event Type Cd","N/A (LDM)","Y","","","This code captures information regarding ad event types."
"AD EVENT TYPE","Ad Event Type Desc","N/A (LDM)","","","","This is the description of the code."
"AD GROUP CAMPAIGN XREF","Ad Group Id","N/A (LDM)","Y","","","Uniquely identifies an item group.  The item group to which the object may refer.   Note: This attribute is considered to be mutually exclusive with item ID.  An identifier for a group of items that has ties to the keyword or phrase used in the paid search."
"AD IMPRESSION SUMMARY","Ad Impression Summary Statistics Dttm","N/A (LDM)","Y","","","The date and time of the reported statistics.  If desired, another timestamp attribute can be added to define a specific period start and period end duration. The timestamp element can be omitted if reporting will be done on a daily, weekly, or higher level."
"AD IMPRESSION SUMMARY","Impressions Viewed Cnt","N/A (LDM)","","","","This is the count of impression displays in the given period. This is derived data."
"AD IMPRESSION SUMMARY","Impression Click-Through Cnt","N/A (LDM)","","","","This is the number of times an impression was clicked on to view its contents in the given period. This is derived data."
"AD IMPRESSION SUMMARY","Impression Statistics Provider Party Id","N/A (LDM)","","","","The unique identifier for any individual or group of individuals that is of interest to the enterprise.  In this context, this is the provider of the statistics."
"AD NETWORK","Ad Network Id","N/A (LDM)","Y","","","A unique identifier for a group of publisher sites that an ad or campaign is run on. Ad networks commonly have predefined networks that advertisers can choose to run their ads on. Examples include a computers and technology network that would include all of the computer and technology related sites the ad network has space on or a sports network that includes all of the sports related sites the ad network has."
"AD NETWORK","Ad Network Desc","N/A (LDM)","","","","This is a textual description of an ad network."
"AD NETWORK","Controlling Party Id","N/A (LDM)","Y","","","The unique identifier for any individual or group of individuals that is of interest to the enterprise.  In this case, the organization that controls the network of WEB SITEs."
"AD NETWORK WEB SITE","","N/A (LDM)","","","","This entity relates the web sites that are contained in a specific ad network."
"AD OBJECT","","N/A (LDM)","","","","An associative entity that tracks MULTIMEDIA OBJECTs involved in the creation of an AD."
"AD OFFER","","N/A (LDM)","","","","This entity relates ads to offers. An offer is presented in an ad."
"AD ORDER","Ad Order Id","N/A (LDM)","Y","","","This identifies an ad order. It is a unique identifier for an advertisement order or booking."
"AD ORDER","Parent Ad Order Id","N/A (LDM)","Y","","","This uniquely identifies an ad order that is related to the other ad order.   It supports the ability to link related ad orders.  Examples: - Link a canceled ad order to the replacement ad order - Link ad space bought on specification (by an ad agency) to the resale orders of the ad space - Link ad space reservation order to the ad insert order  Note: If there is a requirement to relate ad orders for multiple purposes, a separate 'related ad order' associative entity should be created l"
"AD ORDER","Ad Order Dttm","N/A (LDM)","","","","This is the date and time that the ad order was placed."
"AD ORDER","Ad Order Name","N/A (LDM)","","","","This is the name of the ad order."
"AD ORDER","Requested Ad Placement End Dttm","N/A (LDM)","","","","This is the requested end date and time of the ad placement."
"AD ORDER","Requested Ad Placement Start Dttm","N/A (LDM)","","","","This is the requested start date and time of the ad placement."
"AD ORDER","Ad Order Type Cd","N/A (LDM)","","","",""
"AD ORDER","Ad Space Item Qty","N/A (LDM)","","","","This is the total quantity of ad space items represented in this order."
"AD ORDER","Ad Space Item Unit Amt","N/A (LDM)","","","","This is the total ad space item amount per each unit of ad space item represented in this order. Multiply this by the ad space item quantity to get the ad order total."
"AD ORDER","Ad Order Visit Id","N/A (LDM)","","","","This uniquely identifies an agreement. In this context, this is the agreement with the other party (buyer or seller) to place this ad."
"AD ORDER","Ad Order Channel Instance Id","N/A (LDM)","","","","The unique identifier for the specific channel instance. In this context, this is the specific marketing channel for this ad."
"AD ORDER BROADCAST MEDIUM","","N/A (LDM)","","","","This entity captures information regarding the broadcast output medium (channel) for this ad order."
"AD ORDER COMMISSION","Sales Party Id","N/A (LDM)","Y","","","The unique identifier for any individual or group of individuals that is of interest to the enterprise.  This is the Seller's Salesperson. An Ad Order may have one or more Salespeople each having a percentage of the commission for the sale."
"AD ORDER COMMISSION","Ad Order Commission Pct","N/A (LDM)","","","","This is the commission percentage for this salesperson associated with an ad order sale."
"AD ORDER COMMISSION","Ad Order Commission Fixed Amt","N/A (LDM)","","","","This is a fixed commission amount. It may be in addition to, or instead of, a percentage commission for this salesperson associated with an ad order sale."
"AD ORDER DELIVERY SUBTYPE","Ad Order Delivery Subtype Cd","N/A (LDM)","Y","","","This captures information regarding the types of delivery channels ads may be distributed over.  Examples: - Ad Order Traditional (billboards, standard TVs and sides of vehicles) - AD Order Online (web and interactive devices)"
"AD ORDER DELIVERY SUBTYPE","Ad Order Delivery Subtype Desc","N/A (LDM)","","","","This is a description of the code."
"AD ORDER DISPLAY TIME","","N/A (LDM)","","","","This entity defines a date and time that an ad will be shown.  Examples: - Ad 2005467 is shown Monday morning (9am-11am) - Ad 872364098 is shown on Weekends (24 hours a day)"
"AD ORDER EVENT","","N/A (LDM)","","","","This entity enables the linking of ad orders to event activities. By providing a cross reference between ad orders and events, the ad order function can be tracked within the event hierarchy."
"AD ORDER EXPENSE FORECAST","Ad Order Expense Forecast End Dt","N/A (LDM)","Y","","","The end date of the forecast period."
"AD ORDER EXPENSE FORECAST","Ad Order Expense Forecast Amt","N/A (LDM)","","","","Forecast expense amount for the period."
"AD ORDER EXPENSE FORECAST","Ad Order Expense Actual Amt","N/A (LDM)","","","","Actual expense amount for the period."
"AD ORDER INTERACTIVE DEVICE MEDIUM","","N/A (LDM)","","","","The output medium (channel) for this ad order is an access device such as a mobile phone."
"AD ORDER MAKE GOOD","Make Good Reason Cd","N/A (LDM)","Y","","",""
"AD ORDER MAKE GOOD","Ad Order Make Good Subtype Cd","N/A (LDM)","","","",""
"AD ORDER MAKE GOOD PLACEMENT","","N/A (LDM)","","","","This entity captures information regarding make good replacement requests."
"AD ORDER MAKE GOOD REASON TYPE","Make Good Reason Cd","N/A (LDM)","Y","","","This code is for the 'make good reason' of an advertisement order."
"AD ORDER MAKE GOOD REASON TYPE","Make Good Reason Desc","N/A (LDM)","","","","This is a description of the code."
"AD ORDER MAKE GOOD REFUND","Refund Item Qty","N/A (LDM)","Y","","","Identifies the item quantity for the make good request."
"AD ORDER MAKE GOOD REFUND","Refund Item Amt","N/A (LDM)","","","","Identifies the amount refunded for the make good request."
"AD ORDER MAKE GOOD REFUND","Insurance - Agreement.Line of Business","N/A (LDM)","","","","This subject area shows metrics at the line of business or book of business level.   For Solvency II businesses are segmented into life and nonlife.   For Solvency II the classification for nonlife is based on the technical provisions in the specification: - Motor vehicle liability - Motor, other classes - Marine, aviation and transport (MAT) - Fire and other property damage - Third party liability - Credit and suretyship - Legal expenses - Assistance - Miscellaneous - Nonproportio"
"AD ORDER MAKE GOOD REFUND","Letter","N/A (LDM)","","","","%File% -- %Display% / %SubjectArea%"
"AD ORDER MAKE GOOD REFUND","Letter","N/A (LDM)","","","","%File% -- %Display% / %SubjectArea%"
"AD ORDER MAKE GOOD SUBTYPE","Ad Order Make Good Subtype Cd","N/A (LDM)","Y","","","This is the code for the ad order make good subtype."
"AD ORDER MAKE GOOD SUBTYPE","Ad Order Make Good Subtype Desc","N/A (LDM)","","","","This is a description of the code."
"AD ORDER ONLINE","Total Maximum Impression Cnt","N/A (LDM)","Y","","","The agreed upon maximum number of impressions that will be shown."
"AD ORDER ONLINE","Total Maximum Click Cnt","N/A (LDM)","","","","The agreed upon maximum number of impression selections (clicks) for which the advertiser will pay."
"AD ORDER ONLINE","Total Maximum Conversion Cnt","N/A (LDM)","","","","The agreed upon maximum number of conversions for which the advertiser will pay."
"AD ORDER ONLINE","Total Maximum Amt","N/A (LDM)","","","","The agreed upon maximum publisher or ad agency revenue amount the advertiser will pay."
"AD ORDER ONLINE","Daily Maximum Impression Cnt","N/A (LDM)","","","","The agreed upon daily maximum number of impressions that will be shown."
"AD ORDER ONLINE","Daily Maximum Click Cnt","N/A (LDM)","","","","The agreed upon daily maximum number of impression selections (clicks) for which the advertiser will pay."
"AD ORDER ONLINE","Daily Maximum Conversion Cnt","N/A (LDM)","","","","The agreed upon daily maximum number of conversions for which the advertiser will pay."
"AD ORDER ONLINE","Daily Maximum Amt","N/A (LDM)","","","","The agreed upon daily maximum publisher or ad agency revenue amount the advertiser will pay."
"AD ORDER ONLINE","Ad Order Online Subtype Cd","N/A (LDM)","","","",""
