"Parent","Child","Cardinality","FK_Columns","Relationship_Name"
"AD ORDER MAKE GOOD SUBTYPE","AD ORDER MAKE GOOD","1:M","Ad Order Make Good Subtype Cd","AD ORDER MAKE GOOD SUBTYPE -> AD ORDER MAKE GOOD"
"AD ORDER ONLINE SUBTYPE","AD ORDER ONLINE","1:M","Ad Order Online Subtype Cd","AD ORDER ONLINE SUBTYPE -> AD ORDER ONLINE"
"AD ORDER TYPE","AD ORDER","1:M","Ad Order Type Cd","AD ORDER TYPE -> AD ORDER"
"AD STATUS TYPE","AD STATUS","1:M","Ad Status Type Cd","AD STATUS TYPE -> AD STATUS"
"AGREEMENT AGREEMENT GROUP SUBTYPE","AGREEMENT AGREEMENT GROUP","1:M","Agreement Agreement Group Subtype Cd","AGREEMENT AGREEMENT GROUP SUBTYPE -> AGREEMENT AGREEMENT GROUP"
"AGREEMENT ASSET","EXPOSURE AGREEMENT ASSET VALUE","1:M","Agreement Asset Start Dt","AGREEMENT ASSET -> EXPOSURE AGREEMENT ASSET VALUE"
"AGREEMENT ASSET","EXPOSURE AGREEMENT ASSET VALUE ADJUSTMENT","1:M","Agreement Asset Start Dt","AGREEMENT ASSET -> EXPOSURE AGREEMENT ASSET VALUE ADJUSTMENT"
"AGREEMENT ASSET","EXPOSURE AGREEMENT COLLATERAL ITEM","1:M","Agreement Asset Start Dt","AGREEMENT ASSET -> EXPOSURE AGREEMENT COLLATERAL ITEM"
"AGREEMENT FEATURE RELATED","AGREEMENT FEATURE","1:M","Agreement Feature Role Cd","AGREEMENT FEATURE RELATED -> AGREEMENT FEATURE"
"AGREEMENT FEATURE RELATED","AGREEMENT FEATURE METRIC","1:M","Agreement Feature Role Cd","AGREEMENT FEATURE RELATED -> AGREEMENT FEATURE METRIC"
"AGREEMENT FEATURE RELATED","AGREEMENT FEATURE ROLE TYPE","1:M","Agreement Feature Role Cd","AGREEMENT FEATURE RELATED -> AGREEMENT FEATURE ROLE TYPE"
"AGREEMENT FEATURE RELATED","AGREEMENT PRODUCT FEATURE","1:M","Agreement Feature Role Cd","AGREEMENT FEATURE RELATED -> AGREEMENT PRODUCT FEATURE"
"AGREEMENT FEATURE RELATED","AGREEMENT PRODUCT FEATURE RELATED","1:M","Agreement Feature Role Cd","AGREEMENT FEATURE RELATED -> AGREEMENT PRODUCT FEATURE RELATED"
"AGREEMENT FEATURE RELATED","APPLICATION FEATURE","1:M","Agreement Feature Role Cd","AGREEMENT FEATURE RELATED -> APPLICATION FEATURE"
"AGREEMENT FEATURE RELATED","APPLICATION FEATURE RELATED","1:M","Agreement Feature Role Cd","AGREEMENT FEATURE RELATED -> APPLICATION FEATURE RELATED"
"AGREEMENT FEATURE RELATED","POLICY COVERAGE METRIC","1:M","Agreement Feature Role Cd","AGREEMENT FEATURE RELATED -> POLICY COVERAGE METRIC"
"AGREEMENT FEATURE RELATED","QUOTATION FEATURE","1:M","Agreement Feature Role Cd","AGREEMENT FEATURE RELATED -> QUOTATION FEATURE"
"AGREEMENT FEATURE RELATED","QUOTATION FEATURE RELATED","1:M","Agreement Feature Role Cd","AGREEMENT FEATURE RELATED -> QUOTATION FEATURE RELATED"
"AGREEMENT GROUP REASON TYPE","AGREEMENT GROUP","1:M","Agreement Group Reason Type Cd","AGREEMENT GROUP REASON TYPE -> AGREEMENT GROUP"
"AGREEMENT GROUP SCORE","AGREEMENT GROUP","1:M","Analytical Model Id","AGREEMENT GROUP SCORE -> AGREEMENT GROUP"
"AGREEMENT GROUP TYPE","AGREEMENT GROUP TYPE XREF","1:M","Agreement Group Type Cd","AGREEMENT GROUP TYPE -> AGREEMENT GROUP TYPE XREF"
