"Entity","Attribute","Classword_Type","Teradata_Type","PK","Required","Description","Parent_Entity"
"ACCESS_DEVICE","Access_Device_Id","Classword_Identifier","BIGINT","Y","Y","A unique identifier for the ACCESS DEVICE. There is one instance for each physical device.",""
"ACCESS_DEVICE","Access_Device_Subtype_Cd","Classword_Code","VARCHAR(50)","Y","Y","A code for the type of device such as: - Card - Key card - Mobile phone",""
"ACCESS_DEVICE","Access_Device_Val","Classword_Value","DECIMAL(18,4)","","N","This is a sequence of numbers or text electronically registered to telecommunications equipment that gives the customer access to subscription services or products.  Examples: - Telephone number - IP address - Email address - Skype name - Screen name - URL",""
"ACCESS_DEVICE","Access_Medium_Type_Cd","Classword_Code","VARCHAR(50)","","N","This is a code for the type of contact event access medium such as debit card, ATM card, credit card, passbook, and mobile phone.",""
"ACCESS_DEVICE_ACTIVATE_EVENT","Access_Device_Id","Classword_Identifier","BIGINT","Y","Y","A unique identifier for the ACCESS DEVICE. There is one instance for each physical device.","DIRECT_CONTACT_EVENT"
"ACCESS_DEVICE_DESCRIPTIVE_FEATURE","","","","","","This is a type of descriptive feature that indicates that an access device such as credit, debit, or ATM card is an available feature for an account.","DESCRIPTIVE_FEATURE"
"ACCESS_DEVICE_EVENT","Access_Device_Event_Id","Classword_Identifier","BIGINT","Y","Y","The unique identifier of the EVENT.","EVENT"
"ACCESS_DEVICE_EVENT","Access_Device_Num","Classword_Number","VARCHAR(50)","","N","The number that appears on the ACCESS DEVICE used in the event.  ACCESS DEVICE EVENT may be a withdrawal by somebody from a different bank with whom the financial institution has a ""guest agreement."" In that case, Access Device Id is not known, only Access Device Num, as the ""foreign"" card is not known to the data warehouse. For this reason, both Access Device Id and Access Device Num are both needed.","EVENT"
"ACCESS_DEVICE_EVENT","Access_Device_Method_Type_Cd","Classword_Code","VARCHAR(50)","","N","A code entity describes the access method of an access device event such as magnetic stripe, chip, and optical.","EVENT"
"ACCESS_DEVICE_EVENT","Access_Device_Verify_Type_Cd","Classword_Code","VARCHAR(50)","","N","A code describes the verification method of an access device event such as PIN, signature, or no verification.","EVENT"
"ACCESS_DEVICE_EVENT","Access_Device_Id","Classword_Identifier","BIGINT","Y","Y","A unique identifier for the ACCESS DEVICE. There is one instance for each physical device.","EVENT"
"ACCESS_DEVICE_EVENT_RISK_REASON_TYPE","Access_Device_Event_Risk_Reason_Type_Cd","Classword_Code","VARCHAR(50)","Y","Y","This is the technical response code that was returned to the merchant regarding the risk of approving this transaction. This may be triggered by a rule in the authorization engine.",""
"ACCESS_DEVICE_EVENT_RISK_REASON_TYPE","Access_Device_Event_Risk_Reason_Type_Desc","Classword_Description","VARCHAR(500)","","N","This is a description of the code.",""
"ACCESS_DEVICE_FEATURE","Access_Device_Id","Classword_Identifier","BIGINT","Y","Y","A unique identifier for the ACCESS DEVICE. There is one instance for each physical device.",""
"ACCESS_DEVICE_FEATURE","Feature_Id","Classword_Identifier","BIGINT","Y","Y","The unique identifier for a product feature. A feature is the term or condition that describes a product such as annual fee, minimum balance, or term length. It does not include customer eligibility rules such as income and years on job. A separate entity, PRODUCT ELIGIBILITY, will describe the eligibility. Each feature has its own identifier. For example, minimum balance of 100 would have one identifier and minimum balance of 200 would have another identifier.",""
"ACCESS_DEVICE_LIMIT","Limit_Type_Cd","Classword_Code","VARCHAR(50)","Y","Y","A code for the type of limit such as overdraft limit, cash advance limit, purchase limit, maximum limit per day, and maximum transaction limit.  Examples: - 1 = credit line limit - 2 = credit line limit greater than one year",""
"ACCESS_DEVICE_LIMIT","Access_Device_Id","Classword_Identifier","BIGINT","Y","Y","A unique identifier for the ACCESS DEVICE. There is one instance for each physical device.",""
"ACCESS_DEVICE_LIMIT","Access_Device_Limit_Start_Dt","Classword_Date","DATE","Y","Y","The date the indicated limit became effective for the account ACCESS DEVICE.",""
"ACCESS_DEVICE_LIMIT","Access_Device_Limit_End_Dt","Classword_Date","DATE","","N","The date the indicated limit became ineffective for the account ACCESS DEVICE.",""
"ACCESS_DEVICE_LIMIT","Access_Device_Limit_Val","Classword_Value","DECIMAL(18,4)","","N","The value of the limit. This could be a dollar amount or an integer.",""
