"Profitability_Measure","FSDM_Entity","FSDM_Attribute","Calculation","Notes"
"Interest_Income_Amt","AGREEMENT_SUMMARY","Interest_Income_Amt","Direct from agreement period summary","NII component"
"Interest_Expense_Amt","AGREEMENT_SUMMARY","Interest_Expense_Amt","Direct from agreement period summary","NII component"
"Net_Interest_Income","AGREEMENT_SUMMARY","Interest_Income_Amt - Interest_Expense_Amt","Calculated","NII = Interest Earned - Interest Paid"
"Fee_Income_Amt","MONETARY_TRANSACTION","Transaction_Amt (where type=fee)","Aggregated by customer/product","Non-interest income"
"Commission_Income_Amt","MONETARY_TRANSACTION","Transaction_Amt (where type=commission)","Aggregated by customer/product","Non-interest income"
"FX_Gain_Loss_Amt","AGREEMENT_CURRENCY","FX_Gain_Loss_Amt","Aggregated","Non-interest income"
"Fund_Transfer_Price_Amt","AGREEMENT_SUMMARY","FTP_Amount","From FTP engine","Internal transfer pricing"
"Total_Revenue_Amt","Calculated","NII + Fees + Commissions + FX","Sum of components","Top line revenue"
"Direct_Cost_Amt","AGREEMENT_COST","Cost_Amt (direct costs)","Aggregated by agreement","Transaction + servicing costs"
"Indirect_Cost_Amt","GL_MAIN_ACCOUNT","Allocated_Cost_Amt","Cost allocation model","Overhead allocation"
"Channel_Cost_Amt","CHANNEL_USAGE_METRIC","Channel_Cost_Amt","By channel type","Servicing cost by channel"
"Provision_Expense_Amt","AGREEMENT_RISK_METRIC","Provision_Amt","ECL calculation","Expected credit losses"
"Risk_Weighted_Asset_Amt","AGREEMENT_RISK_METRIC","Risk_Weighted_Asset_Amt","Basel calculation","RWA for RAROC"
"Economic_Capital_Amt","BANK_CAPITAL_SUMMARY","Economic_Capital_Amt","Capital model","RAROC denominator"
"Expected_Loss_Amt","AGREEMENT_RISK_METRIC","Expected_Loss_Amt","PD * LGD * EAD","Credit risk"
"Probability_Of_Default_Rate","PARTY_LIABILITY_CREDIT_RATING","PD_Rate","Credit model","Customer-level PD"
"Net_Profit_Amt","Calculated","Revenue - Costs - Provisions","Sum of components","Bottom line"
"RAROC_Pct","Calculated","Net_Profit / Economic_Capital","Calculated ratio","Risk-adjusted return"
"Cost_To_Income_Ratio_Pct","Calculated","Total_Costs / Total_Revenue","Calculated ratio","Efficiency measure"
"Return_On_Equity_Pct","Calculated","Net_Profit / Equity_Allocated","Calculated ratio","ROE"
"Customer_Id","PARTY","Party_Id","Direct FK","Customer dimension key"
"Customer_Segment_Cd","PARTY_CLASSIFICATION","Party_Class_Value_Cd","Via classification","Segmentation"
"Product_Id","PRODUCT","Product_Id","Direct FK via agreement","Product dimension key"
"Product_Type_Cd","PRODUCT","Product_Type_Cd","Direct","Product classification"
"Branch_Id","ORGANIZATION","Organization_Party_Id (internal)","Branch org unit","Branch dimension key"
"Business_Segment_Cd","ORGANIZATION_BUSINESS_TYPE","Business_Type_Cd","Business classification","Segment dimension"
"Channel_Type_Cd","CHANNEL_TYPE","Channel_Type_Cd","Direct","Channel dimension key"
"Period_Start_Dt","TIME_PERIOD_TYPE","Period_Start_Dt","Calendar","Time dimension"
"Geography_Cd","GEOGRAPHICAL_AREA","Geographical_Area_Cd","Via branch/customer","Geography dimension"
